,Club Name,League name,Average age of players,Stadium name,Coach name,Coach Date,Club Values
0,FC Barcelona,LaLiga,25.5,Spotify Camp Nou,Ernesto Valverde,"Jul 1, 2017",€767.00m
1,Real Madrid,LaLiga,27.4,Santiago Bernabéu,Zinédine Zidane,"Mar 11, 2019",€860.80m
2,Atlético de Madrid,LaLiga,28.5,Civitas Metropolitano,Diego Simeone,"Dec 23, 2011",€457.00m
3,Valencia CF,LaLiga,25.0,Mestalla,Marcelino,"Jul 1, 2017",€225.65m
4,Real Sociedad,LaLiga,25.4,Reale Arena ,Imanol Alguacil,"Dec 27, 2018",€376.00m
5,Sevilla FC,LaLiga,28.8,Ramón Sánchez-Pizjuán,Julen Lopetegui,"Jul 1, 2019",€209.00m
6,Real Betis Balompié,LaLiga,29.0,Benito Villamarín,Rubi,"Jul 1, 2019",€252.50m
7,Athletic Bilbao,LaLiga,27.8,San Mamés,Gaizka Garitano,"Dec 5, 2018",€226.30m
8,Villarreal CF,LaLiga,28.4,La Cerámica,Javier Calleja,"Jan 29, 2019",€278.20m
9,Getafe CF,LaLiga,27.8,Coliseum Alfonso Pérez,Pepe Bordalás,"Sep 27, 2016",€136.70m
10,Celta de Vigo,LaLiga,26.4,Abanca Balaídos,Fran Escribá,"Mar 3, 2019",€146.20m
11,RCD Espanyol Barcelona,LaLiga,26.1,RCDE Stadium,David Gallego,"Jul 1, 2019",€113.70m
12,CD Leganés,LaLiga2,28.6,Butarque,Mauricio Pellegrino,"Jul 1, 2018",€28.20m
13,Deportivo Alavés,LaLiga2,26.1,Mendizorroza,Asier Garitano,"Jul 1, 2019",€34.30m
14,Levante UD,LaLiga2,27.5,Ciutat de València,Paco López,"Mar 5, 2018",€41.60m
15,Real Valladolid CF,LaLiga,28.0,Nuevo José Zorrilla,Sergio,"Apr 10, 2018",€76.60m
16,RCD Mallorca,LaLiga,27.9,Mallorca Son Moix,Vicente Moreno,"Jul 1, 2017",€93.60m
17,CA Osasuna,LaLiga,27.9,El Sadar,Jagoba Arrasate,"Jul 1, 2018",€127.70m
18,Granada CF,LaLiga2,28.0,Nuevo Los Cármenes,Diego Martínez,"Jul 1, 2018",€47.00m
19,SD Eibar,LaLiga2,28.3,Ipurua,José Luis Mendilibar,"Jul 1, 2015",€26.90m
