,Club Name,League name,Average age of players,Stadium name,Coach name,Coach Date,Club Values
0,FC Barcelona,LaLiga,25.5,Spotify Camp Nou,Ernesto Valverde,"Jul 1, 2017",€767.00m
1,Atlético de Madrid,LaLiga,28.5,Civitas Metropolitano,Diego Simeone,"Dec 23, 2011",€457.00m
2,Real Madrid,LaLiga,27.4,Santiago Bernabéu,Julen Lopetegui,"Jul 1, 2018",€860.80m
3,Valencia CF,LaLiga,25.0,Mestalla,Marcelino,"Jul 1, 2017",€225.65m
4,Sevilla FC,LaLiga,28.8,Ramón Sánchez-Pizjuán,Pablo Machín,"Jul 1, 2018",€209.00m
5,Real Sociedad,LaLiga,25.4,Reale Arena ,Asier Garitano,"Jul 1, 2018",€376.00m
6,Real Betis Balompié,LaLiga,29.0,Benito Villamarín,Quique Setién,"Jul 1, 2017",€252.50m
7,Athletic Bilbao,LaLiga,27.8,San Mamés,Eduardo Berizzo,"Jul 1, 2018",€226.30m
8,Celta de Vigo,LaLiga,26.4,Abanca Balaídos,Antonio Mohamed,"Jul 1, 2018",€146.20m
9,Villarreal CF,LaLiga,28.4,La Cerámica,Javier Calleja,"Sep 25, 2017",€278.20m
10,RCD Espanyol Barcelona,LaLiga,26.1,RCDE Stadium,Rubi,"Jul 1, 2018",€113.70m
11,Getafe CF,LaLiga,27.8,Coliseum Alfonso Pérez,Pepe Bordalás,"Sep 27, 2016",€136.70m
12,CD Leganés,LaLiga2,28.6,Butarque,Mauricio Pellegrino,"Jul 1, 2018",€28.20m
13,Deportivo Alavés,LaLiga2,26.1,Mendizorroza,Abelardo,"Dec 1, 2017",€34.30m
14,Levante UD,LaLiga2,27.5,Ciutat de València,Paco López,"Mar 5, 2018",€41.60m
15,Girona FC,LaLiga,26.6,Montilivi,Eusebio,"Jul 1, 2018",€126.20m
16,SD Eibar,LaLiga2,28.3,Ipurua,José Luis Mendilibar,"Jul 1, 2015",€26.90m
17,Rayo Vallecano,LaLiga,28.8,Campo de Fútbol de Vallecas,Ramón Colón,"Jul 1, 1959",€95.20m
18,Real Valladolid CF,LaLiga,28.0,Nuevo José Zorrilla,Sergio,"Apr 10, 2018",€76.60m
19,SD Huesca,LaLiga2,27.5,El Alcoraz,Leo Franco,"Jul 1, 2018",€20.90m
