,player_id,Season,Date,Left,Joined,MV,Fee
5050,157501,16/17,"Jan26,2017",ACMilan,Watford,€15.00m,Loanfee:€750k
5051,453824,21/22,"Jun30,2022",StokeCity,G.Bordeaux,€3.00m,Endofloan
5052,453824,21/22,"Jan31,2022",G.Bordeaux,StokeCity,€4.00m,loantransfer
5053,453824,20/21,"Jun30,2021",Fulham,G.Bordeaux,€5.00m,Endofloan
5054,453824,20/21,"Feb1,2021",G.Bordeaux,Fulham,€6.50m,loantransfer
5055,453824,18/19,"Jan26,2019",Sunderland,G.Bordeaux,€250k,€1.50m
5056,453824,17/18,"Jan1,2018",SunderlandU23,Sunderland,-,-
5057,453824,16/17,"Jul1,2016",SunderlandU18,SunderlandU23,-,-
5058,453824,15/16,"Jul1,2015",ManCityYouth,SunderlandU18,-,-
5059,557612,20/21,"Jul1,2020",G.BordeauxB,G.Bordeaux,-,-
5060,557612,19/20,"Jul1,2019",BordeauxU17,G.BordeauxB,-,-
5061,557612,18/19,"Jul1,2018",FCGirondinsBor,BordeauxU17,-,-
5062,557612,17/18,"Jul1,2017",ACBBYouth,FCGirondinsBor,-,freetransfer
5063,18909,18/19,"Aug10,2018",Guingamp,G.Bordeaux,€2.50m,freetransfer
5064,18909,15/16,"Aug3,2015",Hannover96,Guingamp,€2.50m,freetransfer
5065,575610,19/20,"Feb21,2020",GomidoFC,G.BordeauxB,-,?
5066,575610,18/19,"Jul1,2018",EspoirFC,GomidoFC,-,?
5067,575610,17/18,"Jul1,2017",Unknown,EspoirFC,-,?
5068,357117,21/22,"Jul1,2021",Fiorentina,FCNantes,€10.00m,€7.50m
5069,357117,20/21,"Jun30,2021",FCNantes,Fiorentina,€10.00m,Endofloan
5070,357117,19/20,"Jul1,2019",Fiorentina,FCNantes,€17.00m,Loanfee:€800k
5071,357117,18/19,"Jul2,2018",Toulouse,Fiorentina,€18.00m,€8.00m
5072,357117,15/16,"Jul1,2015",ToulouseU19,Toulouse,-,-
5073,282028,21/22,"Jul1,2021",RSCCharleroi,FCNantes,€800k,?
5074,282028,19/20,"Aug8,2019",ParisSG,RSCCharleroi,€1.20m,€400k
5075,282028,18/19,"Jun30,2019",ClermontFoot,ParisSG,€1.20m,Endofloan
5076,282028,18/19,"Aug21,2018",ParisSG,ClermontFoot,€600k,loantransfer
5077,282028,17/18,"Jun30,2018",ToursFC,ParisSG,€600k,Endofloan
5078,282028,17/18,"Jan1,2018",ParisSG,ToursFC,€150k,loantransfer
5079,282028,17/18,"Jul1,2017",ParisSGB,ParisSG,€150k,-
5080,282028,15/16,"Jul1,2015",ParisSGU19,ParisSGB,-,-
