,player_id,name,birth_date,height,current_international,main_position,foot,current_club,goals_scored,goals_assisted,goals_conceded,clean_sheets,total_appearence,agent
309,100131,William Carvalho,"['Apr', '7', '1992']",187.0,Portugal,midfield Defensive Midfield,right,Real Betis,24,28,nan,nan,421,PCR Sports
310,429901,Paul Akouokou,"['Dec', '20', '1997']",181.0,Cote d'Ivoire,midfield Defensive Midfield,right,Real Betis,4,6,nan,nan,112,Promoesport
311,20506,Andrés Guardado,"['Sep', '28', '1986']",167.0,Mexico,midfield Central Midfield,left,Real Betis,41,82,nan,nan,582,
312,263856,Víctor Camarasa,"['May', '28', '1994']",183.0,Spain,midfield Central Midfield,right,Real Oviedo,14,13,nan,nan,230,Promoesport
313,718580,Antonio Marchena,"['Jul', '27', '2002']",182.0,Spain,midfield Central Midfield,,Betis Deportivo,2,1,nan,nan,59,YOU FIRST
314,203496,Nabil Fekir,"['Jul', '18', '1993']",173.0,France,midfield Attacking Midfield,left,Real Betis,97,72,nan,nan,331,Relatives
315,66106,Sergio Canales,"['Feb', '16', '1991']",178.0,Spain,midfield Attacking Midfield,left,Real Betis,68,65,nan,nan,505,Best of You
316,630995,Rodri Sánchez,"['May', '16', '2000']",175.0,Spain,midfield Attacking Midfield,left,Real Betis,6,13,nan,nan,94,Bahía Internacional
317,395694,Yassin Fekir,"['May', '5', '1997']",170.0,France,midfield Attacking Midfield,right,R. B. Linense,23,5,nan,nan,148,Promoesport
318,126737,Juanmi,"['May', '20', '1993']",172.0,Spain,Attack Left Winger,right,Real Betis,81,22,nan,nan,350,LIAN Sports Group
319,141834,Cristian Tello,"['Aug', '11', '1991']",178.0,Spain,Attack Left Winger,both,Al-Fateh,74,64,nan,nan,434,TACTIC GRUP - ...
320,371174,Diego Lainez,"['Jun', '9', '2000']",167.0,Mexico,Attack Right Winger,left,Tigres UANL,11,13,nan,nan,160,PitZGroup
321,505675,Rober González,"['Jan', '8', '2001']",169.0,Spain,Attack Right Winger,both,Alavés,20,7,nan,nan,125,ELITE INTERNACIONAL ...
322,7663,Joaquín,"['Jul', '21', '1981']",181.0,Spain,Attack Right Winger,right,Real Betis,112,103,nan,nan,844,Juzzt Football
323,278359,Borja Iglesias,"['Jan', '17', '1993']",187.0,Spain,Attack Centre Forward,right,Real Betis,170,21,nan,nan,397,Toldra Consulting ...
324,122155,Willian José,"['Nov', '23', '1991']",189.0,Brazil,Attack Centre Forward,right,Real Betis,119,30,nan,nan,451,Un1que Football
325,354741,Loren Morón,"['Dec', '30', '1993']",185.0,Spain,Attack Centre Forward,right,UD Las Palmas,65,8,nan,nan,231,YOU FIRST
326,631002,Raúl García,"['Nov', '3', '2000']",192.0,Spain,Attack Centre Forward,right,CD Mirandés,41,10,nan,nan,101,Fernando Galvez ...
327,262396,Unai Simón,"['Jun', '11', '1997']",190.0,Spain,Goalkeeper,right,Athletic,-,2,211,78,218,CAA Stellar
328,625014,Julen Agirrezabala,"['Dec', '26', '2000']",187.0,Spain,Goalkeeper,left,Athletic,-,-,63,20,65,YOU FIRST
329,379548,Jokin Ezkieta,"['Aug', '17', '1996']",193.0,Spain,Goalkeeper,right,Racing,-,-,106,26,89,
330,480958,Ander Iru,"['Aug', '22', '1998']",188.0,Spain,Goalkeeper,left,Athletic,-,-,31,10,29,IDUB GLOBAL
331,158863,Iñigo Martínez,"['May', '17', '1991']",182.0,Spain,Defender Centre Back,left,Athletic,26,13,nan,nan,447,Carmelo Sánchez
332,255488,Yeray Álvarez,"['Jan', '24', '1995']",182.0,Spain,Defender Centre Back,right,Athletic,4,5,nan,nan,275,
333,524000,Dani Vivian,"['Jul', '5', '1999']",184.0,Spain,Defender Centre Back,right,Athletic,9,4,nan,nan,140,Acción Sport
334,338285,Unai Núñez,"['Jan', '30', '1997']",186.0,Spain,Defender Centre Back,right,Celta de Vigo,6,3,nan,nan,192,LEADERBROCK
