,Club Name,League name,Average age of players,Stadium name,Coach name,Coach Date,Club Values
0,Real Madrid,LaLiga,27.4,Santiago Bernabéu,Zinédine Zidane,"Jan 4, 2016",€860.80m
1,FC Barcelona,LaLiga,25.5,Spotify Camp Nou,Luis Enrique,"Jul 1, 2014",€767.00m
2,Atlético de Madrid,LaLiga,28.5,Civitas Metropolitano,Diego Simeone,"Dec 23, 2011",€457.00m
3,Sevilla FC,LaLiga,28.8,Ramón Sánchez-Pizjuán,Jorge Sampaoli,"Jul 1, 2016",€209.00m
4,Valencia CF,LaLiga,25.0,Mestalla,Pako Ayestarán,"Mar 30, 2016",€225.65m
5,Villarreal CF,LaLiga,28.4,La Cerámica,Marcelino,"Jan 15, 2013",€278.20m
6,Athletic Bilbao,LaLiga,27.8,San Mamés,Ernesto Valverde,"Jul 1, 2013",€226.30m
7,Real Sociedad,LaLiga,25.4,Reale Arena ,Eusebio,"Nov 9, 2015",€376.00m
8,Celta de Vigo,LaLiga,26.4,Abanca Balaídos,Eduardo Berizzo,"Jul 1, 2014",€146.20m
9,Deportivo de La Coruña,Primera Federación - Grupo I,27.7,Abanca Riazor,Gaizka Garitano,"Jul 1, 2016",€8.90m
10,Deportivo Alavés,LaLiga2,26.1,Mendizorroza,Mauricio Pellegrino,"Jul 1, 2016",€34.30m
11,Málaga CF,LaLiga2,27.9,La Rosaleda,Juande Ramos,"Jul 1, 2016",€18.50m
12,UD Las Palmas,LaLiga2,26.8,Estadio de Gran Canaria,Quique Setién,"Oct 19, 2015",€27.00m
13,Real Betis Balompié,LaLiga,29.0,Benito Villamarín,Gustavo Poyet,"May 11, 2016",€252.50m
14,RCD Espanyol Barcelona,LaLiga,26.1,RCDE Stadium,Quique Sánchez Flores,"Jul 1, 2016",€113.70m
15,SD Eibar,LaLiga2,28.3,Ipurua,José Luis Mendilibar,"Jul 1, 2015",€26.90m
16,Granada CF,LaLiga2,28.0,Nuevo Los Cármenes,Paco Jémez,"Jul 1, 2016",€47.00m
17,CD Leganés,LaLiga2,28.6,Butarque,Asier Garitano,"Jun 28, 2013",€28.20m
18,Sporting Gijón,LaLiga2,26.2,El Molinón - Enrique Castro Quini,Abelardo,"May 5, 2014",€27.20m
19,CA Osasuna,LaLiga,27.9,El Sadar,Enrique Martín,"May 5, 2015",€127.70m
