,Club Name,League name,Average age of players,Stadium name,Coach name,Coach Date,Club Values
0,FC Barcelona,LaLiga,25.5,Spotify Camp Nou,Quique Setién,"Jan 13, 2020",€767.00m
1,Real Madrid,LaLiga,27.4,Santiago Bernabéu,Zinédine Zidane,"Mar 11, 2019",€860.80m
2,Atlético de Madrid,LaLiga,28.5,Civitas Metropolitano,Diego Simeone,"Dec 23, 2011",€457.00m
3,Sevilla FC,LaLiga,28.8,Ramón Sánchez-Pizjuán,Julen Lopetegui,"Jul 1, 2019",€209.00m
4,Real Sociedad,LaLiga,25.4,Reale Arena ,Imanol Alguacil,"Dec 27, 2018",€376.00m
5,Villarreal CF,LaLiga,28.4,La Cerámica,Javier Calleja,"Jan 29, 2019",€278.20m
6,Valencia CF,LaLiga,25.0,Mestalla,Javi Gracia,"Jul 27, 2020",€225.65m
7,Real Betis Balompié,LaLiga,29.0,Benito Villamarín,Manuel Pellegrini,"Aug 1, 2020",€252.50m
8,Athletic Bilbao,LaLiga,27.8,San Mamés,Gaizka Garitano,"Dec 5, 2018",€226.30m
9,Getafe CF,LaLiga,27.8,Coliseum Alfonso Pérez,Pepe Bordalás,"Sep 27, 2016",€136.70m
10,Celta de Vigo,LaLiga,26.4,Abanca Balaídos,Óscar García,"Nov 4, 2019",€146.20m
11,Granada CF,LaLiga2,28.0,Nuevo Los Cármenes,Diego Martínez,"Jul 1, 2018",€47.00m
12,Levante UD,LaLiga2,27.5,Ciutat de València,Paco López,"Mar 5, 2018",€41.60m
13,CA Osasuna,LaLiga,27.9,El Sadar,Jagoba Arrasate,"Jul 1, 2018",€127.70m
14,SD Eibar,LaLiga2,28.3,Ipurua,José Luis Mendilibar,"Jul 1, 2015",€26.90m
15,Deportivo Alavés,LaLiga2,26.1,Mendizorroza,Pablo Machín,"Aug 5, 2020",€34.30m
16,SD Huesca,LaLiga2,27.5,El Alcoraz,Míchel,"Jul 1, 2019",€20.90m
17,Real Valladolid CF,LaLiga,28.0,Nuevo José Zorrilla,Sergio,"Apr 10, 2018",€76.60m
18,Cádiz CF,LaLiga,29.0,Nuevo Mirandilla,Álvaro Cervera,"Apr 18, 2016",€62.40m
19,Elche CF,LaLiga,27.7,Manuel Martínez Valero,Jorge Almirón,"Aug 26, 2020",€60.70m
