,player_id,season,Age,Competition,Club,club_id,position_group,New_season,Squad,Appearances,club_clean_sheet,player_clean_sheet,Goals conceded,PPG,Assists,Penalty goals,market_value
578,74960,2017,28,Premier League,Newcastle United,762,Goalkeeper,False,13,12,9,4,11,1.58,0,0,4000000.0
580,226049,2017,20,Premier League,Newcastle United,762,Goalkeeper,False,6,0,9,0,0,0.0,0,0,500000.0
583,99397,2019,28,Premier League,Newcastle United,762,Goalkeeper,False,37,0,11,0,0,0.0,0,0,2400000.0
585,257814,2017,19,Bundesliga,TSG 1899 Hoffenheim,533,Goalkeeper,False,21,0,10,0,0,0.0,0,0,500000.0
587,257814,2018,20,Bundesliga,TSG 1899 Hoffenheim,533,Goalkeeper,False,13,1,5,0,1,3.0,0,0,6000000.0
589,251299,2019,21,Bundesliga,1.FSV Mainz 05,39,Goalkeeper,False,12,0,6,0,0,0.0,0,0,150000.0
590,284769,2019,21,Bundesliga,1.FSV Mainz 05,39,Goalkeeper,False,31,13,6,2,25,0.92,0,0,2400000.0
591,160963,2020,25,Bundesliga,1.FSV Mainz 05,39,Goalkeeper,False,31,31,5,5,46,1.16,0,0,5000000.0
593,45672,2018,27,Bundesliga,Eintracht Frankfurt,24,Goalkeeper,False,33,33,10,8,48,1.55,0,0,10000000.0
594,107775,2018,25,Bundesliga,Eintracht Frankfurt,24,Goalkeeper,False,33,2,10,2,0,3.0,0,0,1500000.0
595,45672,2019,28,Bundesliga,Eintracht Frankfurt,24,Goalkeeper,True,23,22,5,4,38,1.64,0,0,8000000.0
596,107775,2019,26,Bundesliga,Eintracht Frankfurt,24,Goalkeeper,False,29,9,5,1,14,1.0,0,0,2400000.0
598,107775,2020,27,Bundesliga,Eintracht Frankfurt,24,Goalkeeper,False,2,0,4,0,0,0.0,0,0,2500000.0
601,448705,2021,19,Bundesliga,Eintracht Frankfurt,24,Goalkeeper,False,20,1,5,0,1,1.0,0,0,750000.0
603,40034,2017,28,Bundesliga,VfB Stuttgart,79,Goalkeeper,False,18,0,0,0,0,0.0,0,0,250000.0
607,208166,2017,19,Serie A,ACF Fiorentina,430,Goalkeeper,False,36,3,15,0,8,0.0,0,0,2000000.0
610,61989,2021,33,Bundesliga,VfL Bochum,80,Goalkeeper,True,33,3,7,0,7,2.0,0,0,400000.0
611,452192,2021,20,Bundesliga,VfL Bochum,80,Goalkeeper,False,3,0,7,0,0,0.0,0,0,100000.0
613,41323,2017,30,Bundesliga,FC Augsburg,167,Goalkeeper,False,33,2,9,0,4,0.5,0,0,500000.0
615,41323,2018,31,Bundesliga,FC Augsburg,167,Goalkeeper,False,26,15,6,3,22,1.13,0,0,700000.0
616,257814,2018,20,Bundesliga,FC Augsburg,167,Goalkeeper,False,16,16,6,3,42,0.88,0,0,6000000.0
617,41323,2019,32,Bundesliga,FC Augsburg,167,Goalkeeper,False,33,10,7,3,12,1.2,0,0,400000.0
618,146714,2019,26,Bundesliga,FC Augsburg,167,Goalkeeper,True,33,24,7,4,51,1.0,0,0,3500000.0
621,64399,2018,31,Premier League,Crystal Palace,873,Goalkeeper,False,37,20,13,8,23,1.7,0,0,5000000.0
622,45494,2019,32,Premier League,Crystal Palace,873,Goalkeeper,False,37,3,10,0,8,0.33,0,0,2400000.0
625,64399,2020,33,Premier League,Crystal Palace,873,Goalkeeper,False,38,37,8,8,64,1.11,0,0,2000000.0
627,64399,2021,34,Premier League,Crystal Palace,873,Goalkeeper,False,35,30,13,12,33,1.27,0,0,1500000.0
630,116648,2018,26,Premier League,Fulham FC,931,Goalkeeper,False,22,7,5,0,20,0.71,0,0,4000000.0
631,207302,2018,24,Premier League,Fulham FC,931,Goalkeeper,False,35,29,5,5,56,0.72,0,0,12000000.0
632,78339,2017,29,Bundesliga,SC Freiburg,60,Goalkeeper,False,34,2,10,0,3,2.0,0,0,500000.0
635,125714,2018,25,Bundesliga,SC Freiburg,60,Goalkeeper,False,28,1,5,0,1,3.0,0,0,600000.0
637,125714,2019,26,Bundesliga,SC Freiburg,60,Goalkeeper,False,26,10,7,3,14,1.5,0,0,950000.0
639,125714,2020,27,Bundesliga,SC Freiburg,60,Goalkeeper,False,3,3,6,0,6,1.33,0,0,2500000.0
643,526845,2021,19,Bundesliga,SC Freiburg,60,Goalkeeper,False,3,0,10,0,0,0.0,0,0,1500000.0
645,111873,2018,25,Premier League,Arsenal FC,11,Goalkeeper,False,2,0,7,0,0,0.0,0,0,2000000.0
647,111873,2019,26,Premier League,Arsenal FC,11,Goalkeeper,False,38,9,11,3,9,1.78,0,0,2800000.0
649,128969,2020,28,Premier League,Brighton & Hove Albion,1237,Goalkeeper,False,12,11,12,2,19,0.91,0,0,6000000.0
650,208379,2020,24,Premier League,Brighton & Hove Albion,1237,Goalkeeper,False,8,0,12,0,0,0.0,0,0,800000.0
653,73564,2021,30,Premier League,Brighton & Hove Albion,1237,Goalkeeper,False,33,1,11,0,2,0.0,0,0,600000.0
656,463527,2021,21,Premier League,Brighton & Hove Albion,1237,Goalkeeper,False,8,0,11,0,0,0.0,0,0,2200000.0
659,258482,2019,23,Serie A,Hellas Verona,276,Goalkeeper,False,35,3,10,1,8,1.0,0,0,475000.0
660,160963,2017,22,Bundesliga,1.FSV Mainz 05,39,Goalkeeper,False,25,15,3,2,27,0.93,0,0,600000.0
662,284769,2017,19,Bundesliga,1.FSV Mainz 05,39,Goalkeeper,False,14,5,3,1,7,0.8,0,0,1000000.0
663,160963,2018,23,Bundesliga,1.FSV Mainz 05,39,Goalkeeper,False,34,10,7,2,14,1.6,0,0,1000000.0
668,438682,2021,23,Serie A,AS Roma,12,Goalkeeper,False,35,0,15,0,0,0.0,0,0,800000.0
672,93730,2020,29,Ligue 1,Paris Saint-Germain,583,Goalkeeper,True,10,0,21,0,0,0.0,0,0,400000.0
673,207302,2020,26,Ligue 1,Paris Saint-Germain,583,Goalkeeper,False,36,10,21,5,9,2.2,0,0,7000000.0
676,606576,2020,17,Ligue 1,Paris Saint-Germain,583,Goalkeeper,False,2,0,21,0,0,0.0,0,0,250000.0
678,371816,2021,23,Ligue 1,Montpellier HSC,969,Goalkeeper,False,36,11,12,3,20,0.82,0,0,1500000.0
682,429563,2021,20,Premier League,Brentford FC,1148,Goalkeeper,False,1,0,9,0,0,0.0,0,0,500000.0
683,453704,2021,23,Premier League,Brentford FC,1148,Goalkeeper,False,31,12,9,1,24,0.92,0,0,4000000.0
685,73564,2018,27,Premier League,Brighton & Hove Albion,1237,Goalkeeper,False,13,0,6,0,0,0.0,0,0,750000.0
690,84938,2021,28,Bundesliga,1.FC Köln,3,Goalkeeper,False,26,13,4,1,21,1.38,0,0,2000000.0
692,227089,2021,24,Bundesliga,1.FC Köln,3,Goalkeeper,False,1,0,4,0,0,0.0,0,0,25000.0
694,51977,2018,30,Bundesliga,VfL Wolfsburg,82,Goalkeeper,False,34,9,10,1,11,1.89,0,0,800000.0
696,51977,2019,31,Bundesliga,VfL Wolfsburg,82,Goalkeeper,False,34,8,8,3,8,1.25,0,0,650000.0
698,192268,2019,23,Bundesliga,VfL Wolfsburg,82,Goalkeeper,False,1,0,8,0,0,0.0,0,0,100000.0
699,51977,2020,32,Bundesliga,VfL Wolfsburg,82,Goalkeeper,False,32,2,14,0,4,0.5,0,0,600000.0
702,55282,2019,33,Ligue 1,Olympique Lyon,1041,Goalkeeper,True,25,2,9,1,2,1.5,0,0,1200000.0
704,55282,2020,34,Ligue 1,Olympique Lyon,1041,Goalkeeper,False,1,0,11,0,0,0.0,0,0,600000.0
706,228975,2020,25,Ligue 1,Olympique Lyon,1041,Goalkeeper,False,33,0,11,0,0,0.0,0,0,600000.0
708,107775,2020,27,Bundesliga,FC Schalke 04,33,Goalkeeper,True,20,11,1,1,24,0.36,0,0,2500000.0
709,85528,2017,26,Serie A,Hellas Verona,276,Goalkeeper,False,38,2,0,0,7,0.0,0,0,350000.0
710,415801,2017,17,Serie A,Hellas Verona,276,Goalkeeper,False,1,0,0,0,0,0.0,0,0,50000.0
713,73396,2020,31,Serie A,SSC Napoli,6195,Goalkeeper,False,33,16,14,8,12,2.06,0,0,5000000.0
715,555557,2020,18,Serie A,SSC Napoli,6195,Goalkeeper,False,5,0,14,0,0,0.0,0,0,150000.0
716,73396,2021,32,Serie A,SSC Napoli,6195,Goalkeeper,False,36,31,17,13,25,2.03,0,0,5000000.0
718,417414,2021,21,Serie A,SSC Napoli,6195,Goalkeeper,False,35,1,17,1,0,3.0,0,0,50000.0
720,56809,2017,28,Ligue 1,RC Strasbourg Alsace,667,Goalkeeper,False,34,17,3,3,29,1.0,0,0,700000.0
722,130388,2018,26,Serie A,Bologna FC 1909,1025,Goalkeeper,False,22,0,10,0,0,0.0,0,0,100000.0
724,187624,2021,26,Bundesliga,VfB Stuttgart,79,Goalkeeper,False,30,4,4,0,7,0.5,0,0,500000.0
728,371816,2018,20,Ligue 1,Montpellier HSC,969,Goalkeeper,False,31,1,12,1,0,1.0,0,0,500000.0
730,371816,2019,21,Ligue 1,Montpellier HSC,969,Goalkeeper,False,24,3,8,0,3,0.0,0,0,900000.0
733,371816,2020,22,Ligue 1,Montpellier HSC,969,Goalkeeper,False,34,9,6,3,11,1.56,0,0,1000000.0
735,72476,2020,28,Premier League,Arsenal FC,11,Goalkeeper,False,37,35,12,11,37,1.63,0,0,22000000.0
736,128969,2020,28,Premier League,Arsenal FC,11,Goalkeeper,True,15,3,12,1,2,1.33,0,0,6000000.0
737,72476,2021,29,Premier League,Arsenal FC,11,Goalkeeper,False,33,4,13,1,9,0.75,0,0,9000000.0
739,493513,2021,19,Premier League,Arsenal FC,11,Goalkeeper,False,1,0,13,0,0,0.0,0,0,800000.0
745,203411,2019,25,Bundesliga,1.FC Union Berlin,89,Goalkeeper,False,2,0,8,0,0,0.0,0,0,300000.0
746,418561,2021,20,Premier League,Leeds United,399,Goalkeeper,False,38,1,5,0,1,3.0,0,0,2000000.0
748,68410,2019,25,Bundesliga,SV Werder Bremen,86,Goalkeeper,False,33,1,0,0,2,1.0,0,0,800000.0
751,99397,2018,27,Premier League,Newcastle United,762,Goalkeeper,False,23,0,11,0,0,0.0,0,0,3500000.0
752,226049,2018,21,Premier League,Newcastle United,762,Goalkeeper,False,15,0,11,0,0,0.0,0,0,500000.0
753,74960,2020,31,Premier League,Newcastle United,762,Goalkeeper,False,24,13,7,3,19,1.54,0,0,5000000.0
755,142389,2020,28,Premier League,Newcastle United,762,Goalkeeper,False,20,0,7,0,0,0.0,0,0,400000.0
756,74960,2021,32,Premier League,Newcastle United,762,Goalkeeper,False,29,26,8,8,35,1.65,0,0,4000000.0
758,142389,2021,29,Premier League,Newcastle United,762,Goalkeeper,False,11,0,8,0,0,0.0,0,0,300000.0
760,379869,2021,27,Ligue 1,Clermont Foot 63,3524,Goalkeeper,False,31,15,9,3,33,0.93,0,0,1200000.0
764,199976,2021,29,Serie A,Atalanta BC,800,Goalkeeper,False,37,5,10,2,5,0.6,0,0,1500000.0
768,704079,2021,19,Serie A,Atalanta BC,800,Goalkeeper,False,1,0,10,0,0,0.0,0,0,150000.0
779,395251,2020,22,Ligue 1,Stade Brestois 29,3911,Goalkeeper,True,28,3,7,1,4,1.33,0,0,400000.0
781,357047,2021,24,Ligue 1,Stade Brestois 29,3911,Goalkeeper,False,37,0,7,0,0,0.0,0,0,3000000.0
782,525155,2021,22,Ligue 1,Stade Brestois 29,3911,Goalkeeper,False,3,0,7,0,0,0.0,0,0,200000.0
783,79045,2020,29,Serie A,Spezia Calcio,3522,Goalkeeper,False,20,7,5,1,12,1.43,0,0,2000000.0
785,79045,2021,30,Serie A,Spezia Calcio,3522,Goalkeeper,False,36,7,8,0,19,0.57,0,0,850000.0
792,208166,2018,20,Serie A,ACF Fiorentina,430,Goalkeeper,False,20,3,10,1,2,1.33,0,0,10000000.0
795,448632,2019,19,Ligue 1,Stade Reims,1421,Goalkeeper,True,1,0,12,0,0,0.0,0,0,350000.0
797,448632,2020,20,Ligue 1,Stade Reims,1421,Goalkeeper,False,34,2,11,1,1,0.5,0,0,500000.0
