,player_id,season,Age,Competition,Club,club_id,position_group,New_season,Squad,Appearances,club_clean_sheet,player_clean_sheet,Goals conceded,PPG,Assists,Penalty goals,market_value
125,8246,2021,36,Bundesliga,TSG 1899 Hoffenheim,533,Goalkeeper,False,17,1,8,0,3,3.0,0,0,300000.0
128,19948,2017,35,Premier League,Chelsea FC,631,Goalkeeper,True,38,3,16,1,4,1.33,0,0,1000000.0
130,19948,2018,36,Premier League,Chelsea FC,631,Goalkeeper,False,38,2,16,2,0,2.0,0,0,1000000.0
135,346546,2020,20,Ligue 1,AS Monaco,162,Goalkeeper,False,28,1,15,0,1,3.0,0,0,4000000.0
138,346546,2021,21,Ligue 1,AS Monaco,162,Goalkeeper,False,22,0,11,0,0,0.0,0,0,3000000.0
139,12359,2017,32,Premier League,Brighton & Hove Albion,1237,Goalkeeper,False,5,0,10,0,0,0.0,0,0,250000.0
140,33027,2017,29,Premier League,Brighton & Hove Albion,1237,Goalkeeper,False,33,0,10,0,0,0.0,0,0,2500000.0
142,13460,2018,35,Premier League,Manchester United,985,Goalkeeper,False,9,0,7,0,0,0.0,0,0,750000.0
143,30690,2018,31,Premier League,Manchester United,985,Goalkeeper,False,29,0,7,0,0,0.0,0,0,3500000.0
146,30690,2019,32,Premier League,Manchester United,985,Goalkeeper,False,35,0,13,0,0,0.0,0,0,2800000.0
148,13460,2020,37,Premier League,Manchester United,985,Goalkeeper,False,6,0,14,0,0,0.0,0,0,250000.0
149,59377,2020,29,Premier League,Manchester United,985,Goalkeeper,False,33,26,14,9,32,1.73,0,0,18000000.0
152,33873,2021,34,Premier League,Everton FC,29,Goalkeeper,True,38,3,8,1,8,1.0,0,0,1000000.0
155,27807,2019,33,Serie A,Inter Milan,46,Goalkeeper,False,37,3,14,1,4,2.0,0,0,650000.0
157,27807,2020,34,Serie A,Inter Milan,46,Goalkeeper,False,32,1,16,0,1,3.0,0,0,400000.0
158,28021,2020,35,Serie A,Inter Milan,46,Goalkeeper,False,38,37,16,15,33,2.38,0,0,2500000.0
160,75458,2021,31,Premier League,Aston Villa,405,Goalkeeper,True,18,1,11,0,3,0.0,0,0,2000000.0
163,484838,2021,19,Premier League,Aston Villa,405,Goalkeeper,False,2,0,11,0,0,0.0,0,0,200000.0
165,101118,2017,27,Premier League,Everton FC,29,Goalkeeper,False,30,0,10,0,0,0.0,0,0,3500000.0
167,14555,2019,33,Premier League,Manchester City,281,Goalkeeper,False,10,0,18,0,0,0.0,0,0,800000.0
171,221624,2020,25,Premier League,Manchester City,281,Goalkeeper,False,35,1,19,0,1,3.0,0,0,6000000.0
174,221624,2021,26,Premier League,Manchester City,281,Goalkeeper,False,30,1,21,1,0,3.0,0,0,6000000.0
177,16408,2018,32,Serie A,SSC Napoli,6195,Goalkeeper,True,38,9,16,4,7,2.22,0,0,1500000.0
178,16408,2018,32,Serie A,SSC Napoli,6195,Goalkeeper,True,38,9,16,4,7,2.22,0,0,1500000.0
179,73396,2018,29,Serie A,SSC Napoli,6195,Goalkeeper,True,33,17,16,5,20,1.82,0,0,4000000.0
181,417414,2018,18,Serie A,SSC Napoli,6195,Goalkeeper,False,2,0,16,0,0,0.0,0,0,100000.0
182,15930,2019,33,Premier League,West Ham United,379,Goalkeeper,False,13,5,8,2,6,1.2,0,0,250000.0
184,51321,2019,32,Premier League,West Ham United,379,Goalkeeper,False,17,2,8,0,5,0.5,0,0,2800000.0
187,51321,2020,33,Premier League,West Ham United,379,Goalkeeper,False,27,3,11,1,3,2.0,0,0,1500000.0
188,45672,2017,26,Ligue 1,Paris Saint-Germain,583,Goalkeeper,False,36,4,18,1,4,2.25,0,0,8000000.0
192,45672,2018,27,Ligue 1,Paris Saint-Germain,583,Goalkeeper,False,1,0,11,0,0,0.0,0,0,10000000.0
201,465955,2021,21,Ligue 1,OGC Nice,417,Goalkeeper,True,38,1,14,0,1,0.0,0,0,2000000.0
204,73396,2019,30,Serie A,SSC Napoli,6195,Goalkeeper,False,35,17,8,5,17,1.76,0,0,2800000.0
207,16408,2020,34,Ligue 1,LOSC Lille,1082,Goalkeeper,True,25,0,21,0,0,0.0,0,0,500000.0
210,28021,2021,36,Serie A,Inter Milan,46,Goalkeeper,False,38,37,15,15,30,2.27,0,0,2000000.0
212,704337,2021,18,Serie A,Inter Milan,46,Goalkeeper,False,1,0,15,0,0,0.0,0,0,200000.0
214,203026,2018,25,Premier League,Leicester City,1003,Goalkeeper,True,38,0,10,0,0,0.0,0,0,8000000.0
216,203026,2019,26,Premier League,Leicester City,1003,Goalkeeper,False,38,0,13,0,0,0.0,0,0,6500000.0
218,203026,2020,27,Premier League,Leicester City,1003,Goalkeeper,False,38,0,11,0,0,0.0,0,0,6000000.0
220,96254,2019,29,Serie A,ACF Fiorentina,430,Goalkeeper,False,38,7,11,3,5,2.29,0,0,400000.0
222,370701,2019,20,Serie A,ACF Fiorentina,430,Goalkeeper,False,3,0,11,0,0,0.0,0,0,275000.0
224,241974,2021,24,Bundesliga,Hertha BSC,44,Goalkeeper,False,6,0,7,0,0,0.0,0,0,300000.0
226,471936,2021,22,Bundesliga,Hertha BSC,44,Goalkeeper,False,25,0,7,0,0,0.0,0,0,1500000.0
228,40680,2017,28,Bundesliga,Bayern Munich,27,Goalkeeper,False,32,29,14,12,26,2.48,0,0,6000000.0
232,40680,2018,29,Bundesliga,Bayern Munich,27,Goalkeeper,False,34,9,13,2,9,2.0,0,0,4500000.0
233,317444,2018,19,Bundesliga,Bayern Munich,27,Goalkeeper,False,5,0,13,0,0,0.0,0,0,200000.0
236,40680,2019,30,Bundesliga,Bayern Munich,27,Goalkeeper,False,34,1,15,0,1,3.0,0,0,3500000.0
239,195778,2020,23,Bundesliga,Bayern Munich,27,Goalkeeper,True,27,1,9,0,2,1.0,0,0,6000000.0
240,317444,2020,21,Bundesliga,Bayern Munich,27,Goalkeeper,False,6,0,9,0,0,0.0,0,0,600000.0
242,40680,2021,32,Bundesliga,Bayern Munich,27,Goalkeeper,False,24,6,12,1,11,1.17,0,0,900000.0
247,428016,2019,20,Premier League,Tottenham Hotspur,148,Goalkeeper,False,4,0,6,0,0,0.0,0,0,200000.0
249,17965,2021,34,Premier League,Tottenham Hotspur,148,Goalkeeper,False,38,38,16,16,40,1.87,0,0,7000000.0
253,226073,2021,25,Ligue 1,LOSC Lille,1082,Goalkeeper,False,32,21,10,2,28,1.48,0,0,3500000.0
254,258267,2021,24,Ligue 1,LOSC Lille,1082,Goalkeeper,False,21,0,10,0,0,0.0,0,0,500000.0
