,player_id,market_value_y,main_position,club full name,Score,Score_Rank,market_value_Rank
190,27807,800000.0,Goalkeeper,Udinese Calcio,24.0,1865.5,1732.0
551,44948,3500000.0,Attack Second Striker,Johor Darul Ta'zim,24.0,1865.5,4062.5
4298,269878,2500000.0,Attack Centre Forward,1.FC Union Berlin,24.0,1865.5,3398.0
4200,258916,2500000.0,midfield Attacking Midfield,Norwich City,23.97,1876.5,3398.0
7175,557612,3000000.0,Attack Centre Forward,FC Girondins Bordeaux,23.85,1889.5,3757.0
4309,270411,5000000.0,midfield Attacking Midfield,Clermont Foot 63,23.7,1897.0,4807.5
5901,387234,4000000.0,midfield Central Midfield,FC Empoli,23.67,1901.0,4335.5
484,42783,5000000.0,Attack Right Winger,FC Augsburg,23.66,1903.5,4807.5
5801,372712,4800000.0,midfield Defensive Midfield,RC Strasbourg Alsace,23.63,1910.0,4621.5
6990,528833,3500000.0,midfield Attacking Midfield,Udinese Calcio,23.5,1917.0,4062.5
6639,471474,2500000.0,midfield Attacking Midfield,CA Osasuna,23.46,1919.5,3398.0
7162,555557,150000.0,Goalkeeper,Napoli Primavera,23.27,1934.0,345.0
7531,607225,600000.0,midfield Central Midfield,FC Villefranche-Beaujolais,23.07,1945.0,1457.5
2096,125614,4000000.0,Attack Centre Forward,Club Brugge KV,23.0,1949.0,4335.5
7976,695454,3000000.0,Attack Left Winger,GD Estoril Praia,22.97,1953.5,3757.0
841,57995,7000000.0,midfield Attacking Midfield,VfB Stuttgart,22.8,1968.5,5474.0
1787,107775,2500000.0,Goalkeeper,1.FC Union Berlin,22.759999999999998,1975.5,3398.0
4624,289257,300000.0,midfield Central Midfield,Real Sociedad,22.759999999999998,1975.5,906.5
5722,365544,1000000.0,Goalkeeper,Doncaster Rovers,22.67,1987.0,2072.5
5182,334042,4000000.0,midfield Central Midfield,CD Cruz Azul,22.67,1987.0,4335.5
3347,199733,6000000.0,midfield Defensive Midfield,SS Lazio,22.439999999999998,2007.5,5158.5
4928,314398,3000000.0,midfield Attacking Midfield,1.FSV Mainz 05,22.41,2009.0,3757.0
2318,131951,6000000.0,Attack Centre Forward,Hellas Verona,22.36,2010.0,5158.5
2991,182574,6000000.0,midfield Attacking Midfield,1.FSV Mainz 05,22.3,2016.5,5158.5
2033,121477,6000000.0,Defender Centre Back,West Ham United,22.259999999999998,2023.0,5158.5
5099,324795,5000000.0,midfield Central Midfield,AS Saint-Étienne,22.240000000000002,2025.5,4807.5
1765,106270,4000000.0,Attack Left Winger,1.FC Köln,22.06,2046.0,4335.5
7850,659543,3000000.0,Attack Centre Forward,AC Le Havre,22.06,2046.0,3757.0
3899,241076,2500000.0,Attack Left Winger,Spezia Calcio,22.0,2052.5,3398.0
6968,525155,200000.0,Goalkeeper,Stade Brest 29 B,21.72,2077.0,546.5
3944,242940,2000000.0,Defender Centre Back,Cagliari Calcio,21.64,2078.0,3021.0
4787,297583,5500000.0,Attack Second Striker,SC Freiburg,21.59,2081.0,5008.5
6660,473050,450000.0,Attack Right Winger,SC Freiburg,21.57,2083.0,1206.0
2367,135492,7000000.0,Defender Right Back,Real Betis Balompié,21.53,2086.5,5474.0
6273,417896,400000.0,Attack Centre Forward,Delfino Pescara 1936,21.46,2095.5,1120.5
7564,613129,150000.0,midfield Central Midfield,Sassuolo Primavera,21.4,2103.0,345.0
3880,239962,6500000.0,Defender Centre Back,FC Copenhagen,21.39,2107.0,5330.0
5479,347913,7000000.0,Defender Centre Back,Olympique Marseille,21.28,2117.0,5474.0
7547,610461,400000.0,Attack Right Winger,Sevilla Atlético,21.24,2125.0,1120.5
1718,102146,2000000.0,Goalkeeper,Elche CF,21.21,2128.0,3021.0
4936,314940,2000000.0,midfield Left Midfield,RC Strasbourg Alsace,21.2,2130.5,3021.0
7478,597804,100000.0,Goalkeeper,Borussia Mönchengladbach II,21.16,2133.5,168.5
7561,611202,150000.0,Goalkeeper,Atlético Levante UD,21.14,2136.5,345.0
3898,240934,3000000.0,midfield Central Midfield,FC Empoli,21.09,2146.0,3757.0
7592,617059,200000.0,Goalkeeper,Atlético Levante UD,21.05,2148.5,546.5
5458,346314,3500000.0,Defender Centre Back,Chelsea FC,21.05,2148.5,4062.5
7347,579930,6000000.0,Attack Left Winger,FC Lorient,21.0,2158.0,5158.5
6055,397676,1500000.0,Goalkeeper,Levante UD,21.0,2158.0,2580.5
2397,139279,3500000.0,Defender Centre Back,FC Nantes,21.0,2158.0,4062.5
2669,162056,3200000.0,midfield Central Midfield,Levante UD,20.97,2165.0,3947.0
6965,524428,225000.0,Attack Right Winger,US Triestina,20.96,2166.0,667.0
3797,235931,2000000.0,midfield Central Midfield,Cagliari Calcio,20.79,2184.5,3021.0
3707,227805,6000000.0,Goalkeeper,Valencia CF,20.75,2195.5,5158.5
4747,295331,3200000.0,Attack Centre Forward,Udinese Calcio,20.73,2201.5,3947.0
6644,471901,500000.0,midfield Central Midfield,Hertha BSC II,20.61,2213.0,1308.0
7633,622029,10000.0,Attack Centre Forward,Salernitana Primavera,20.57,2227.5,1.5
5389,344015,4500000.0,midfield Attacking Midfield,Heart of Midlothian FC,20.54,2231.5,4554.5
7965,691828,75000.0,Attack Left Winger,Sassuolo Primavera,20.52,2234.0,73.0
7245,568177,6000000.0,midfield Attacking Midfield,Manchester City,20.5,2236.0,5158.5
6752,486477,3000000.0,midfield Defensive Midfield,KAS Eupen,20.47,2238.0,3757.0
1284,78147,400000.0,Attack Centre Forward,Arminia Bielefeld,20.46,2239.5,1120.5
5148,331505,200000.0,Defender Centre Back,FC Barcelona,20.44,2244.0,546.5
7994,697144,1500000.0,midfield Central Midfield,Altinordu FK,20.37,2252.0,2580.5
7962,691529,75000.0,Goalkeeper,Empoli Primavera,20.32,2264.0,73.0
2164,126683,1600000.0,midfield Central Midfield,ESTAC Troyes,20.24,2280.5,2743.5
8075,711969,500000.0,Defender Right Back,Stade Rennais FC,20.2,2283.0,1308.0
2404,140191,5000000.0,Defender Right Back,West Ham United,20.17,2286.0,4807.5
1460,85867,4000000.0,Defender Left Back,Borussia Dortmund,20.13,2289.5,4335.5
3449,205569,5000000.0,midfield Defensive Midfield,Levante UD,20.12,2291.5,4807.5
6003,393325,6700000.0,Attack Centre Forward,Norwich City,20.12,2291.5,5369.0
