Unnamed: 0,player_id,Season,Date,Left,Joined,MV,Fee
43,522248,17/18,"Jul1,2017",KirchheimYth.,FCBayernU16,-,freetransfer
44,424204,18/19,"Jan1,2019",Vancouver,BayernMunich,€10.00m,€14.00m
45,424204,16/17,"Jul15,2016",WhitecapsFC2,Vancouver,-,-
46,424204,15/16,"Feb23,2016",WhitecapsRes,WhitecapsFC2,-,-
47,424881,21/22,"Jul1,2021",Reading,BayernMunich,€7.00m,freetransfer
48,424881,17/18,"Jul1,2017",ReadingU21,Reading,-,-
49,424881,16/17,"Jul1,2016",ReadingU18,ReadingU21,-,-
50,353366,19/20,"Jul1,2019",VfBStuttgart,BayernMunich,€30.00m,€35.00m
51,353366,16/17,"Aug30,2016",LOSCLille,VfBStuttgart,€800k,€5.00m
52,353366,15/16,"Jul1,2015",LOSCLilleB,LOSCLille,-,-
53,483046,21/22,"Aug1,2021",FCBayernII,BayernMunich,€400k,-
54,483046,19/20,"Jul1,2019",FCBayernU19,FCBayernII,-,-
55,483046,17/18,"Jul1,2017",FCBayernU17,FCBayernU19,-,-
56,483046,16/17,"Jan17,2017",Fürstenf.U17,FCBayernU17,-,freetransfer
57,483046,16/17,"Jul1,2016",Fürstenf.Yth.,Fürstenf.U17,-,-
58,483046,15/16,"Jul1,2015",TSV1860Yth.,Fürstenf.Yth.,-,freetransfer
59,190685,20/21,"Oct5,2020",Marseille,BayernMunich,€9.00m,€8.00m
60,190685,15/16,"Jul3,2015",FCMetz,Marseille,€1.50m,€2.00m
61,161056,15/16,"Jul2,2015",VfBStuttgart,BayernMunich,€5.00m,€8.50m
62,161056,15/16,"Jul1,2015",RBLeipzig,VfBStuttgart,€5.00m,€1.50m
63,336869,20/21,"Oct4,2020",Espanyol,BayernMunich,€16.00m,€9.00m
64,336869,16/17,"Jul1,2016",RCDEspanyolB,Espanyol,-,-
65,336869,15/16,"Jul1,2015",EspanyolU19,RCDEspanyolB,-,-
66,31741,15/16,"Aug26,2015",VfLOsnabrück,FCBayernII,€350k,?
67,153084,18/19,"Jul1,2018",FCSchalke04,BayernMunich,€40.00m,freetransfer
68,106987,21/22,"Aug30,2021",RBLeipzig,BayernMunich,€42.00m,€15.00m
69,190393,17/18,"Jul1,2017",OlympiqueLyon,BayernMunich,€22.00m,€41.50m
70,344600,21/22,"Jan3,2022",BayernMunich,Venezia,€5.00m,€4.00m
71,344600,20/21,"Jun30,2021",Marseille,BayernMunich,€7.00m,Endofloan
72,344600,20/21,"Oct5,2020",BayernMunich,Marseille,€10.00m,loantransfer
