,Club Name,League name,Average age of players,Stadium name,Coach name,Coach Date,Club Values
0,Paris Saint-Germain,Ligue 1,25.1,Parc des Princes,Mauricio Pochettino,"Jan 2, 2021",€882.55m
1,Olympique Lyon,Ligue 1,25.2,Groupama Stadium,Peter Bosz,"May 29, 2021",€231.80m
2,AS Monaco,Ligue 1,24.3,Stade Louis-II,Niko Kovac,"Jul 19, 2020",€324.20m
3,LOSC Lille,Ligue 1,26.0,Decathlon Arena-Stade Pierre-Mauroy,Jocelyn Gourvennec,"Jul 5, 2021",€220.90m
4,Stade Rennais FC,Ligue 1,24.5,Roazhon Park,Bruno Génésio,"Mar 4, 2021",€320.30m
5,Olympique Marseille,Ligue 1,26.7,Orange Vélodrome,Jorge Sampaoli,"Mar 8, 2021",€259.20m
6,OGC Nice,Ligue 1,24.3,Allianz Riviera,Christophe Galtier,"Jul 1, 2021",€235.60m
7,RC Lens,Ligue 1,25.7,Stade Bollaert-Delelis,Franck Haise,"Feb 25, 2020",€184.10m
8,Stade Reims,Ligue 1,24.6,Stade Auguste-Delaune,Óscar García,"Jun 23, 2021",€95.10m
9,Montpellier HSC,Ligue 1,25.7,Stade de la Mosson,Olivier Dall'Oglio,"Jun 1, 2021",€115.40m
10,RC Strasbourg Alsace,Ligue 1,26.6,Stade de la Meinau,Julien Stéphan,"May 28, 2021",€98.55m
11,FC Girondins Bordeaux,Ligue 2,22.7,Matmut Atlantique,Jean-Louis Gasset,"Aug 10, 2020",€33.20m
12,FC Nantes,Ligue 1,26.3,Stade de la Beaujoire,Antoine Kombouaré,"Feb 11, 2021",€123.80m
13,AS Saint-Étienne,Ligue 2,25.1,Stade Geoffroy-Guichard,Claude Puel,"Oct 4, 2019",€39.00m
14,Stade Brestois 29,Ligue 1,25.5,Stade Francis-Le Blé,Michel Der Zakarian,"Jun 22, 2021",€69.00m
15,FC Metz,Ligue 2,25.0,Stade Saint-Symphorien,Frédéric Antonetti,"Oct 13, 2020",€25.25m
16,Angers SCO,Ligue 1,25.0,Stade Raymond Kopa,Gérald Baticle,"May 27, 2021",€52.20m
17,ESTAC Troyes,Ligue 1,25.4,Stade de l'Aube,Laurent Batlles,"Jun 14, 2019",€77.30m
18,FC Lorient,Ligue 1,24.6,Stade du Moustoir,Christophe Pélissier,"May 29, 2019",€87.40m
19,Clermont Foot 63,Ligue 1,25.8,Stade Gabriel-Montpied,Pascal Gastien,"Sep 1, 2017",€37.20m
