,player_id,name,birth_date,height,current_international,main_position,foot,current_club,goals_scored,goals_assisted,goals_conceded,clean_sheets,total_appearence,agent
1904,556173,Omar Khailoti,"['Sep', '5', '2001']",192.0,Morocco,Defender Centre Back,left,Novara,3,-,nan,nan,78,PDP s.r.l.  ...
1905,818882,Riccardo Stivanello,"['Apr', '24', '2004']",188.0,Italy,Defender Centre Back,right,Bologna U19,3,2,nan,nan,71,BC Group
1906,818878,Wisdom Amey,"['Aug', '11', '2005']",187.0,Togo,Defender Centre Back,right,Bologna,3,-,nan,nan,63,
1907,591949,Aaron Hickey,"['Jun', '10', '2002']",185.0,Scotland,Defender Left Back,both,Brentford,6,3,nan,nan,106,PLG
1908,187245,Mitchell Dijks,"['Feb', '9', '1993']",194.0,Netherlands,Defender Left Back,left,Vitesse,3,12,nan,nan,288,ESA & GFM
1909,861221,Ebenezer Annan,"['Aug', '21', '2002']",178.0,Ghana,Defender Left Back,left,Imolese,1,1,nan,nan,81,Arthurlegacy Sports ...
1910,331560,Takehiro Tomiyasu,"['Nov', '5', '1998']",188.0,Japan,Defender Right Back,right,Arsenal,5,7,nan,nan,215,UDN SPORTS
1911,577394,Denso Kasius,"['Oct', '6', '2002']",183.0,Netherlands,Defender Right Back,right,Rapid Vienna,12,13,nan,nan,114,Key United
1912,33571,Lorenzo De Silvestri,"['May', '23', '1988']",186.0,Italy,Defender Right Back,right,Bologna,31,30,nan,nan,475,Sergio Berti
1913,207715,Ibrahima Mbaye,"['Nov', '19', '1994']",188.0,Senegal,Defender Right Back,right,Without Club,13,7,nan,nan,208,A.& G. Football ...
1914,347900,Jerdy Schouten,"['Jan', '12', '1997']",185.0,Netherlands,midfield Defensive Midfield,right,Bologna,12,11,nan,nan,210,Key United
1915,60889,Gary Medel,"['Aug', '3', '1987']",171.0,Chile,midfield Defensive Midfield,right,Bologna,20,19,nan,nan,481,Fernando Felicevich
1916,699442,Kacper Urbanski,"['Sep', '7', '2004']",178.0,Poland,midfield Defensive Midfield,right,Bologna,11,9,nan,nan,77,BMG-SPORT
1917,342405,Mattias Svanberg,"['Jan', '5', '1999']",185.0,Sweden,midfield Central Midfield,right,VfL Wolfsburg,37,28,nan,nan,263,MD Management
1918,497291,Nicolás Domínguez,"['Jun', '28', '1998']",179.0,Argentina,midfield Central Midfield,right,Bologna,14,13,nan,nan,192,Interplayers
1919,237658,Michel Aebischer,"['Jan', '6', '1997']",183.0,Switzerland,midfield Central Midfield,right,Bologna,29,37,nan,nan,311,IFM
1920,85393,Nicolas Viola,"['Oct', '12', '1989']",180.0,Italy,midfield Central Midfield,left,Cagliari Calcio,69,51,nan,nan,410,AGB Sport Management
1921,464446,Andri Fannar Baldursson,"['Jan', '10', '2002']",187.0,Iceland,midfield Central Midfield,right,NEC Nijmegen,4,1,nan,nan,66,CAA Stellar
1922,401920,Kingsley Michael,"['Aug', '26', '1999']",176.0,Nigeria,midfield Central Midfield,right,Bologna,3,6,nan,nan,84,BTFM
1923,679754,Niklas Pyyhtiä,"['Sep', '25', '2003']",186.0,Finland,midfield Central Midfield,left,Bologna,12,11,nan,nan,97,Ballex
1924,63186,Roberto Soriano,"['Feb', '8', '1991']",182.0,Italy,midfield Attacking Midfield,right,Bologna,61,47,nan,nan,488,TMP SOCCER srl
1925,662752,Luis Rojas,"['Mar', '6', '2002']",179.0,Chile,midfield Attacking Midfield,right,Pro Vercelli,6,3,nan,nan,46,Andes SM
1926,486624,Musa Barrow,"['Nov', '14', '1998']",184.0,The Gambia,Attack Left Winger,right,Bologna,74,40,nan,nan,215,Sportlex Srl
1927,82048,Nicola Sansone,"['Sep', '10', '1991']",173.0,Italy,Attack Left Winger,right,Bologna,96,51,nan,nan,451,TMP SOCCER srl
1928,496270,Gianmarco Cangiano,"['Nov', '16', '2001']",176.0,Italy,Attack Left Winger,right,Fortuna Sittard,31,15,nan,nan,127,FF
1929,562030,Musa Juwara,"['Dec', '26', '2001']",170.0,The Gambia,Attack Left Winger,left,Odense BK,32,11,nan,nan,98,
1930,432982,Andreas Skov Olsen,"['Dec', '29', '1999']",187.0,Denmark,Attack Right Winger,left,Club Brugge,69,31,nan,nan,200,MB Sports
1931,368482,Riccardo Orsolini,"['Jan', '24', '1997']",183.0,Italy,Attack Right Winger,left,Bologna,76,42,nan,nan,269,MM-Management
1932,394346,Emanuel Vignato,"['Aug', '24', '2000']",175.0,Italy,Attack Right Winger,right,FC Empoli,42,16,nan,nan,198,TMP SOCCER srl
1933,41384,Marko Arnautovic,"['Apr', '19', '1989']",192.0,Austria,Attack Centre Forward,both,Bologna,128,73,nan,nan,469,Arna Sports ...
1934,439292,Sydney van Hooijdonk,"['Feb', '6', '2000']",190.0,Netherlands,Attack Centre Forward,right,Heerenveen,91,8,nan,nan,183,World in Motion
1935,119115,Diego Falcinelli,"['Jun', '26', '1991']",186.0,Italy,Attack Centre Forward,left,Modena,84,27,nan,nan,423,Patrick Bastianelli
1936,99180,Federico Santander,"['Jun', '4', '1991']",187.0,Paraguay,Attack Centre Forward,right,Guaraní,82,27,nan,nan,296,
1937,616667,Mattia Pagliuca,"['Apr', '25', '2002']",,Italy,Attack Centre Forward,right,Bologna Weitere,10,12,nan,nan,101,
1938,818888,Antonio Raimondo,"['Mar', '18', '2004']",185.0,Italy,Attack Centre Forward,left,Bologna,42,6,nan,nan,83,
1939,241923,Lorenzo Montipò,"['Feb', '20', '1996']",191.0,Italy,Goalkeeper,right,Hellas Verona,-,1,380,73,282,Alberto Jimmy ...
1940,371013,Ivor Pandur,"['Mar', '25', '2000']",187.0,Croatia,Goalkeeper,right,Fortuna Sittard,-,-,99,20,70,GAMMA SPORT
1941,535881,Mattia Chiesa,"['Jul', '16', '2000']",190.0,Italy,Goalkeeper,right,Mantova,-,-,70,12,48,Romano Eleven SAS
1942,488270,Kaur Kivila,"['Nov', '22', '2003']",187.0,Estonia,Goalkeeper,right,Carpi,-,2,197,12,90,Top Eleven ...
1943,127217,Alessandro Berardi,"['Jan', '16', '1991']",185.0,Italy,Goalkeeper,right,Hellas Verona,-,-,160,49,144,SP GROUP
1944,415801,Nicola Borghetto,"['Nov', '25', '1999']",188.0,Italy,Goalkeeper,left,Fermana,-,2,160,37,137,GB1
1945,678006,Elia Boseggia,"['Feb', '6', '2004']",,Italy,Goalkeeper,left,Verona U19,-,-,98,11,61,
1946,709986,Giacomo Toniolo,"['Apr', '1', '2004']",,Italy,Goalkeeper,right,Verona U19,-,-,58,3,26,
