,sumsquare_error,aic,bic,kl_div,ks_statistic,ks_pvalue
beta,4436.291222090546,-56.450210336968865,210.66666233808135,inf,0.3809423728906409,5.458505426423745e-06
pearson3,4497.646156124667,129.32932099547736,207.50588231150664,inf,0.380952380777713,5.454735386905979e-06
burr,6853.593006983625,-33.807706924905666,228.93474395813644,inf,0.3051053131797793,0.0005745905756137093
norm,7448.054287320418,-60.01075843795684,224.95295579524563,inf,0.2118834703499688,0.039204696965688624
lognorm,7448.631604555251,-57.59607025665624,228.69388081195132,inf,0.21204929900844371,0.03896590469982353
