,sumsquare_error,aic,bic,kl_div,ks_statistic,ks_pvalue
lognorm,0.38907514199333615,1200.4989545751894,-78330.02266650653,inf,0.5586925642854996,0.0
gamma,0.4810022631294385,1027.5071991811515,-76654.43674998946,inf,0.24987341765226131,0.0
powerlaw,0.5332782011345405,1010.6822731461757,-75839.38374702382,inf,0.48658588685961307,0.0
chi2,0.5483538085279666,1159.518266216487,-75619.15170818279,inf,0.2498734177214904,0.0
exponpow,0.6104718318965583,795.5394183558254,-74771.39134425376,inf,0.24987341752947773,0.0
