,sumsquare_error,aic,bic,kl_div,ks_statistic,ks_pvalue
lognorm,5.963280657451241e-15,3861.7194627642843,-28460.919262349988,inf,0.06672120838229878,0.003021844064325164
exponpow,1.911299874294904e-14,3825.088284442389,-27617.64178961752,inf,0.06830448421925876,0.0022138114804905653
gamma,2.2122297481133673e-14,3903.7568847341886,-27511.78041398734,inf,0.10217773233452854,4.927187461894781e-07
powerlaw,3.8942726834342666e-14,3699.117099021559,-27102.354078409775,inf,0.13903247990797862,1.1368274977390796e-12
cauchy,7.978696320106541e-14,4045.87286626686,-26589.636766381584,inf,0.3078524971208465,2.025330647286581e-61
