,player_id,Season,Date,Left,Joined,MV,Fee
356,240692,21/22,"Jan31,2022",LOSCLille,AtléticoMadrid,€10.00m,€3.00m
357,240692,19/20,"Jul1,2019",BSAD,LOSCLille,€600k,€3.00m
358,240692,18/19,"Jun30,2019",LOSCLille,BSAD,€600k,Endofloan
359,240692,18/19,"Jan31,2019",BSAD,LOSCLille,€600k,loantransfer
360,240692,18/19,"Jul8,2018",BenficaB,BSAD,€425k,?
361,240692,17/18,"Jun30,2018",SCCovilhã,BenficaB,€425k,Endofloan
362,240692,17/18,"Jul1,2017",BenficaB,SCCovilhã,€200k,loantransfer
363,240692,16/17,"Jun30,2017",Fafe,BenficaB,€200k,Endofloan
364,240692,16/17,"Jan5,2017",BenficaB,Fafe,€150k,loantransfer
365,240692,15/16,"Jan1,2016",LDMaputo,BenficaB,-,?
366,95810,21/22,"Jan7,2022",AtléticoMadrid,Newcastle,€18.00m,€14.00m
367,95810,19/20,"Jul17,2019",Tottenham,AtléticoMadrid,€35.00m,€22.00m
368,95810,15/16,"Jul1,2015",Burnley,Tottenham,€6.00m,€4.90m
369,63463,21/22,"Jan27,2022",Valencia,AtléticoMadrid,€6.00m,€2.70m
370,63463,18/19,"Jul10,2018",CeltadeVigo,Valencia,€15.00m,€6.00m
371,63463,15/16,"Jul1,2015",Évian,CeltadeVigo,€5.00m,€3.00m
372,76061,18/19,"Jun30,2019",Inter,AtléticoMadrid,€20.00m,Endofloan
373,76061,18/19,"Aug1,2018",AtléticoMadrid,Inter,€25.00m,Loanfee:€6.50m
374,76061,16/17,"Jul5,2016",Sassuolo,AtléticoMadrid,€13.00m,€14.00m
375,379632,20/21,"Jan26,2021",Portugalete,Atl.MadridB,€150k,freetransfer
376,379632,20/21,"Aug25,2020",CDVitoria,Portugalete,€200k,freetransfer
377,379632,17/18,"Jan10,2018",ArenasClub,CDVitoria,€150k,freetransfer
378,379632,17/18,"Aug31,2017",Racing,ArenasClub,€50k,freetransfer
379,379632,16/17,"Jun30,2017",ArenasClub,Racing,€50k,Endofloan
