Unnamed: 0,player_id,name,birth_date,height,current_international,main_position,foot,current_club,goals_scored,goals_assisted,goals_conceded,clean_sheets,total_appearence,agent
0,17259,Manuel Neuer,"['Mar', '27', '1986']",193.0,Germany,Goalkeeper,right,27.0,-,keeper has no goal assisted,625,342,747,PRO Profil GmbH
1,40680,Sven Ulreich,"['Aug', '3', '1988']",192.0,Germany,Goalkeeper,right,27.0,-,keeper has no goal assisted,568,125,434,BMS Sportconsulting ...
2,336307,Christian Früchtl,"['Jan', '28', '2000']",193.0,Germany,Goalkeeper,left,14.0,-,keeper has no goal assisted,220,47,159,Talcon Management
3,317444,Ron-Thorben Hoffmann,"['Apr', '4', '1999']",192.0,Germany,Goalkeeper,right,23.0,-,keeper has no goal assisted,215,48,163,ROOF
4,281963,Lucas Hernández,"['Feb', '14', '1996']",184.0,France,Defender Centre Back,left,27.0,5,13,player has no goal conceded,player has no clean sheets,253,Manuel García ...
5,344695,Dayot Upamecano,"['Oct', '27', '1998']",186.0,France,Defender Centre Back,right,27.0,7,13,player has no goal conceded,player has no clean sheets,277,Unique Sports Group
6,166601,Niklas Süle,"['Sep', '3', '1995']",195.0,Germany,Defender Centre Back,right,16.0,21,14,player has no goal conceded,player has no clean sheets,379,Sports360 GmbH
7,538996,Tanguy Nianzou,"['Jun', '7', '2002']",191.0,France,Defender Centre Back,right,368.0,7,4,player has no goal conceded,player has no clean sheets,78,VV Consulting
8,578539,Chris Richards,"['Mar', '28', '2000']",188.0,United States,Defender Centre Back,right,873.0,7,5,player has no goal conceded,player has no clean sheets,122,
9,580193,Bright Arrey-Mbi,"['Mar', '26', '2003']",187.0,Germany,Defender Centre Back,left,42.0,5,1,player has no goal conceded,player has no clean sheets,96,Kick&Run
10,522248,Jamie Lawrence,"['Nov', '10', '2002']",201.0,Germany,Defender Centre Back,right,187.0,9,7,player has no goal conceded,player has no clean sheets,123,Talents & Pros by ...
11,424204,Alphonso Davies,"['Nov', '2', '2000']",185.0,Canada,Defender Left Back,left,27.0,22,41,player has no goal conceded,player has no clean sheets,253,ATG Sports
12,424881,Omar Richards,"['Feb', '15', '1998']",174.0,England,Defender Left Back,left,703.0,4,4,player has no goal conceded,player has no clean sheets,144,CAA Stellar
13,353366,Benjamin Pavard,"['Mar', '28', '1996']",186.0,France,Defender Right Back,right,27.0,15,14,player has no goal conceded,player has no clean sheets,276,Carmenta
14,483046,Josip Stanisic,"['Apr', '2', '2000']",187.0,Croatia,Defender Right Back,both,27.0,4,5,player has no goal conceded,player has no clean sheets,138,BALLWERK Sports GmbH
15,190685,Bouna Sarr,"['Jan', '31', '1992']",177.0,Senegal,Defender Right Back,right,27.0,17,23,player has no goal conceded,player has no clean sheets,317,Wasserman
16,161056,Joshua Kimmich,"['Feb', '8', '1995']",177.0,Germany,midfield Defensive Midfield,right,27.0,52,110,player has no goal conceded,player has no clean sheets,461,
17,336869,Marc Roca,"['Nov', '26', '1996']",184.0,Spain,midfield Defensive Midfield,left,399.0,10,8,player has no goal conceded,player has no clean sheets,232,Promoesport
18,31741,Nicolas Feldhahn,"['Aug', '14', '1986']",189.0,Germany,midfield Defensive Midfield,right,,44,38,player has no goal conceded,player has no clean sheets,508,
19,153084,Leon Goretzka,"['Feb', '6', '1995']",189.0,Germany,midfield Central Midfield,right,27.0,85,64,player has no goal conceded,player has no clean sheets,408,Neubauer 13 GmbH
20,106987,Marcel Sabitzer,"['Mar', '17', '1994']",177.0,Austria,midfield Central Midfield,right,985.0,126,82,player has no goal conceded,player has no clean sheets,508,ROGON
21,190393,Corentin Tolisso,"['Aug', '3', '1994']",181.0,France,midfield Central Midfield,right,1041.0,51,34,player has no goal conceded,player has no clean sheets,310,E CASTAGNINO
22,344600,Michaël Cuisance,"['Aug', '16', '1999']",181.0,France,midfield Central Midfield,left,1038.0,9,9,player has no goal conceded,player has no clean sheets,127,ROGON
23,513963,Taylor Booth,"['May', '31', '2001']",174.0,United States,midfield Central Midfield,right,200.0,9,17,player has no goal conceded,player has no clean sheets,99,CCC
24,57574,Timo Kern,"['Jan', '16', '1990']",179.0,Germany,midfield Central Midfield,right,28.0,108,45,player has no goal conceded,player has no clean sheets,368,Haspel ...
25,580195,Jamal Musiala,"['Feb', '26', '2003']",184.0,Germany,midfield Attacking Midfield,right,27.0,39,26,player has no goal conceded,player has no clean sheets,158,11WINS
26,604327,Gabriel Vidovic,"['Dec', '1', '2003']",180.0,Croatia,midfield Attacking Midfield,right,499.0,29,13,player has no goal conceded,player has no clean sheets,83,Sports360 GmbH
27,900909,Paul Wanner,"['Dec', '23', '2005']",185.0,Germany,midfield Attacking Midfield,left,27.0,6,11,player has no goal conceded,player has no clean sheets,43,Agent is known - Player under 18
28,467437,Malik Tillman,"['May', '28', '2002']",187.0,United States,midfield Attacking Midfield,right,124.0,54,30,player has no goal conceded,player has no clean sheets,153,ROOF
