,Club Name,League name,Average age of players,Stadium name,Coach name,Coach Date,Club Values
0,Chelsea FC,Premier League,25.5,Stamford Bridge,Antonio Conte,"Jul 1, 2016",€1.02bn
1,Manchester City,Premier League,26.8,Etihad Stadium,Pep Guardiola,"Jul 1, 2016",€1.05bn
2,Tottenham Hotspur,Premier League,26.7,Tottenham Hotspur Stadium,Mauricio Pochettino,"Jul 1, 2014",€680.30m
3,Arsenal FC,Premier League,25.2,Emirates Stadium,Arsène Wenger,"Oct 1, 1996",€890.00m
4,Manchester United,Premier League,26.0,Old Trafford,José Mourinho,"Jul 1, 2016",€795.70m
5,Liverpool FC,Premier League,26.7,Anfield,Jürgen Klopp,"Oct 8, 2015",€879.00m
6,Everton FC,Premier League,27.4,Goodison Park,Ronald Koeman,"Jul 1, 2016",€352.90m
7,West Ham United,Premier League,28.2,London Stadium,Slaven Bilic,"Jun 9, 2015",€451.50m
8,Southampton FC,Premier League,25.5,St Mary's Stadium,Claude Puel,"Jul 1, 2016",€397.00m
9,Crystal Palace,Premier League,27.0,Selhurst Park,Alan Pardew,"Jan 3, 2015",€309.95m
10,Leicester City,Premier League,27.0,King Power Stadium,Claudio Ranieri,"Jul 13, 2015",€443.10m
11,Stoke City,Championship,26.7,bet365 Stadium,Mark Hughes,"May 30, 2013",€52.25m
12,Watford FC,Championship,26.3,Vicarage Road,Walter Mazzarri,"Jul 1, 2016",€129.55m
13,Swansea City,Championship,24.8,Swansea.com Stadium,Francesco Guidolin,"Jan 18, 2016",€44.75m
14,Hull City,Championship,25.0,MKM Stadium,Steve Bruce,"Jul 1, 2012",€59.20m
15,Sunderland AFC,Championship,23.5,Stadium of Light,Sam Allardyce,"Oct 9, 2015",€59.25m
16,AFC Bournemouth,Premier League,26.6,Vitality Stadium,Eddie Howe,"Oct 14, 2012",€243.70m
17,Middlesbrough FC,Championship,26.1,Riverside Stadium,Aitor Karanka,"Nov 13, 2013",€81.55m
18,West Bromwich Albion,Championship,27.8,The Hawthorns,Tony Pulis,"Jan 1, 2015",€63.95m
19,Burnley FC,Championship,25.1,Turf Moor,Sean Dyche,"Oct 30, 2012",€131.55m
