,Club Name,League name,Average age of players,Stadium name,Coach name,Coach Date,Club Values
0,Bayern Munich,Bundesliga,26.5,Allianz Arena,Carlo Ancelotti,"Jul 1, 2016",€979.70m
1,Borussia Dortmund,Bundesliga,24.6,SIGNAL IDUNA PARK,Peter Bosz,"Jul 1, 2017",€547.70m
2,RB Leipzig,Bundesliga,25.6,Red Bull Arena,Ralph Hasenhüttl,"Jul 1, 2016",€487.30m
3,Bayer 04 Leverkusen,Bundesliga,24.9,BayArena,Heiko Herrlich,"Jul 1, 2017",€421.85m
4,FC Schalke 04,Bundesliga,27.3,Veltins-Arena,Domenico Tedesco,"Jul 1, 2017",€60.40m
5,TSG 1899 Hoffenheim,Bundesliga,25.9,PreZero Arena,Julian Nagelsmann,"Feb 11, 2016",€154.65m
6,Borussia Mönchengladbach,Bundesliga,26.0,Stadion im Borussia-Park,Dieter Hecking,"Dec 21, 2016",€223.00m
7,VfL Wolfsburg,Bundesliga,24.6,Volkswagen Arena,Andries Jonker,"Feb 27, 2017",€200.70m
8,VfB Stuttgart,Bundesliga,23.6,Mercedes-Benz Arena,Hannes Wolf,"Sep 21, 2016",€115.95m
9,Hertha BSC,Bundesliga,26.1,Olympiastadion Berlin,Pál Dárdai,"Feb 5, 2015",€92.35m
10,Eintracht Frankfurt,Bundesliga,25.1,Deutsche Bank Park,Niko Kovac,"Mar 8, 2016",€294.45m
11,SV Werder Bremen,Bundesliga,25.3,Wohninvest-Weserstadion,Alexander Nouri,"Oct 2, 2016",€80.55m
12,SC Freiburg,Bundesliga,26.2,Europa-Park Stadion,Christian Streich,"Jan 1, 2012",€161.90m
13,FC Augsburg,Bundesliga,25.3,WWK ARENA,Manuel Baum,"Dec 28, 2016",€117.15m
14,1.FSV Mainz 05,Bundesliga,25.1,Mewa Arena,Sandro Schwarz,"Jul 1, 2017",€113.70m
15,Hannover 96,2. Bundesliga,25.0,Heinz-von-Heiden-Arena,André Breitenreiter,"Mar 20, 2017",€23.53m
16,1.FC Köln,Bundesliga,24.7,RheinEnergieSTADION,Peter Stöger,"Jul 1, 2013",€101.93m
17,Hamburger SV,2. Bundesliga,23.6,Volksparkstadion,Markus Gisdol,"Sep 25, 2016",€37.65m
