player_name,signed_from,discription
Anthony Martial,AS Monaco,"Returned after loan spell with Sevilla FC; date: Jun 30, 2022; fee: End of loan"
James Wilson,Manchester United U18,none
Chicharito,Deportivo Guadalajara,none
James Wilson,Manchester United U18,none
Will Keane,Manchester United U21,none
James Wilson,Manchester United U18,none
Ádám Bogdán,Bolton Wanderers,none
Divock Origi,LOSC Lille,Adductor problems - Return unknown
Lawrence Vigouroux,Tottenham Hotspur U21,none
Divock Origi,LOSC Lille,Adductor problems - Return unknown
Mamadou Sakho,Paris Saint-Germain,none
Divock Origi,LOSC Lille,Adductor problems - Return unknown
Martin Skrtel,Zenit St. Petersburg,none
Divock Origi,LOSC Lille,Adductor problems - Return unknown
Tiago Ilori,Sporting CP,none
Divock Origi,LOSC Lille,Adductor problems - Return unknown
Kolo Touré,Manchester City,none
Divock Origi,LOSC Lille,Adductor problems - Return unknown
Conor Masterson,none,none
Divock Origi,LOSC Lille,Adductor problems - Return unknown
José Enrique,Newcastle United,none
Divock Origi,LOSC Lille,Adductor problems - Return unknown
Joe Maguire,none,none
Divock Origi,LOSC Lille,Adductor problems - Return unknown
Jon Flanagan,Liverpool FC U18,none
Divock Origi,LOSC Lille,Adductor problems - Return unknown
Connor Randall,Liverpool FC U21,none
Divock Origi,LOSC Lille,Adductor problems - Return unknown
Lucas Leiva,Grêmio Foot-Ball Porto Alegrense,none
Divock Origi,LOSC Lille,Adductor problems - Return unknown
Kevin Stewart,Tottenham Hotspur U21,none
Divock Origi,LOSC Lille,Adductor problems - Return unknown
Jordan Henderson,Sunderland AFC,none
Divock Origi,LOSC Lille,Adductor problems - Return unknown
Joe Allen,Swansea City,none
Divock Origi,LOSC Lille,Adductor problems - Return unknown
Adam Lallana,Southampton FC,none
Divock Origi,LOSC Lille,Adductor problems - Return unknown
Philippe Coutinho,FC Internazionale,none
Divock Origi,LOSC Lille,Adductor problems - Return unknown
Jordon Ibe,Liverpool FC U21,none
Divock Origi,LOSC Lille,Adductor problems - Return unknown
Sheyi Ojo,Liverpool FC U18,none
Divock Origi,LOSC Lille,Adductor problems - Return unknown
Christian Benteke,Aston Villa,none
Divock Origi,LOSC Lille,Adductor problems - Return unknown
Danny Ings,Burnley FC,none
Divock Origi,LOSC Lille,Adductor problems - Return unknown
Jerome Sinclair,none,none
Divock Origi,LOSC Lille,Adductor problems - Return unknown
Michel Vorm,Without Club,none
Harry Kane,Tottenham Hotspur U18,none
Toby Alderweireld,Atlético de Madrid,none
Harry Kane,Tottenham Hotspur U18,none
Eric Dier,Sporting CP,none
Harry Kane,Tottenham Hotspur U18,none
Kevin Wimmer,1.FC Köln,none
Harry Kane,Tottenham Hotspur U18,none
Danny Rose,Leeds United U18,none
Harry Kane,Tottenham Hotspur U18,none
Kyle Walker,Sheffield United,none
Harry Kane,Tottenham Hotspur U18,none
DeAndre Yedlin,Seattle Sounders FC,none
Harry Kane,Tottenham Hotspur U18,none
Harry Winks,Tottenham Hotspur U23,none
Harry Kane,Tottenham Hotspur U18,none
Mousa Dembélé,Fulham FC,none
Harry Kane,Tottenham Hotspur U18,none
Ryan Mason,Tottenham Hotspur U18,none
Harry Kane,Tottenham Hotspur U18,none
Josh Onomah,Tottenham Hotspur U18,none
Harry Kane,Tottenham Hotspur U18,none
Dele Alli,Milton Keynes Dons,"Muscle partial avulsion - Return expected on Jun 12, 2023"
Harry Kane,Tottenham Hotspur U18,none
Heung-min Son,Bayer 04 Leverkusen,none
Harry Kane,Tottenham Hotspur U18,none
Erik Lamela,AS Roma,none
Harry Kane,Tottenham Hotspur U18,none
Andros Townsend,Tottenham Hotspur Reserves,Cruciate Ligament Injury - Return unknown
Harry Kane,Tottenham Hotspur U18,none
Tim Howard,Manchester United,none
Conor McAleny,Everton FC U18,none
John Stones,Barnsley FC,none
