Club,id,Country,link,Season,income,expend,overall_balance,income_arrival,expend_arrival
Everton FC,29,England,https://www.transfermarkt.com/fc-everton/startseite/verein/29/saison_id/2016,2016,€60.80m,€86.00m ,€-25.20m ,19,18
West Ham United,379,England,https://www.transfermarkt.com/west-ham-united/startseite/verein/379/saison_id/2016,2016,€41.00m,€83.50m ,€-42.50m ,15,22
Southampton FC,180,England,https://www.transfermarkt.com/fc-southampton/startseite/verein/180/saison_id/2016,2016,€85.05m,€68.90m ,+€16.15m,9,12
Crystal Palace,873,England,https://www.transfermarkt.com/crystal-palace/startseite/verein/873/saison_id/2016,2016,€50.20m,€101.20m ,€-51.00m ,21,18
Leicester City,1003,England,https://www.transfermarkt.com/leicester-city/startseite/verein/1003/saison_id/2016,2016,€66.05m,€92.10m ,€-26.05m ,17,15
Stoke City,512,England,https://www.transfermarkt.com/stoke-city/startseite/verein/512/saison_id/2016,2016,€3.80m,€42.17m ,€-38.37m ,12,11
Watford FC,1010,England,https://www.transfermarkt.com/fc-watford/startseite/verein/1010/saison_id/2016,2016,€58.10m,€70.45m ,€-12.35m ,30,28
Swansea City,2288,England,https://www.transfermarkt.com/swansea-city/startseite/verein/2288/saison_id/2016,2016,€49.30m,€58.10m ,€-8.80m ,16,20
Hull City,3008,England,https://www.transfermarkt.com/hull-city/startseite/verein/3008/saison_id/2016,2016,€28.90m,€40.00m ,€-11.10m ,16,22
Sunderland AFC,289,England,https://www.transfermarkt.com/afc-sunderland/startseite/verein/289/saison_id/2016,2016,€23.77m,€41.90m ,€-18.13m ,23,25
AFC Bournemouth,989,England,https://www.transfermarkt.com/afc-bournemouth/startseite/verein/989/saison_id/2016,2016,€23.69m,€40.69m ,€-17.00m ,26,17
Middlesbrough FC,641,England,https://www.transfermarkt.com/fc-middlesbrough/startseite/verein/641/saison_id/2016,2016,€13.50m,€47.95m ,€-34.45m ,19,18
West Bromwich Albion,984,England,https://www.transfermarkt.com/west-bromwich-albion/startseite/verein/984/saison_id/2016,2016,€26.98m,€37.90m ,€-10.93m ,14,12
Burnley FC,1132,England,https://www.transfermarkt.com/fc-burnley/startseite/verein/1132/saison_id/2016,2016,€1.20m,€45.60m ,€-44.40m ,21,22
Manchester City,281,England,https://www.transfermarkt.com/manchester-city/startseite/verein/281/saison_id/2017,2017,€91.35m,€317.50m ,€-226.15m ,30,29
Chelsea FC,631,England,https://www.transfermarkt.com/fc-chelsea/startseite/verein/631/saison_id/2017,2017,€194.60m,€260.50m ,€-65.90m ,29,36
Liverpool FC,31,England,https://www.transfermarkt.com/fc-liverpool/startseite/verein/31/saison_id/2017,2017,€184.50m,€173.65m ,+€10.85m,15,13
Manchester United,985,England,https://www.transfermarkt.com/manchester-united/startseite/verein/985/saison_id/2017,2017,€45.50m,€198.40m ,€-152.90m ,11,13
Tottenham Hotspur,148,England,https://www.transfermarkt.com/tottenham-hotspur/startseite/verein/148/saison_id/2017,2017,€103.80m,€121.00m ,€-17.20m ,10,13
Arsenal FC,11,England,https://www.transfermarkt.com/fc-arsenal/startseite/verein/11/saison_id/2017,2017,€162.00m,€152.85m ,+€9.15m,16,10
Everton FC,29,England,https://www.transfermarkt.com/fc-everton/startseite/verein/29/saison_id/2017,2017,€126.38m,€203.20m ,€-76.82m ,20,22
Leicester City,1003,England,https://www.transfermarkt.com/leicester-city/startseite/verein/1003/saison_id/2017,2017,€50.10m,€83.85m ,€-33.75m ,13,14
Southampton FC,180,England,https://www.transfermarkt.com/fc-southampton/startseite/verein/180/saison_id/2017,2017,€98.35m,€61.25m ,+€37.10m,13,11
West Ham United,379,England,https://www.transfermarkt.com/west-ham-united/startseite/verein/379/saison_id/2017,2017,€69.02m,€56.80m ,+€12.22m,23,14
Crystal Palace,873,England,https://www.transfermarkt.com/crystal-palace/startseite/verein/873/saison_id/2017,2017,€3.00m,€48.95m ,€-45.95m ,17,15
