,player_id,name,birth_date,height,main_position,foot,agent
6330,626960,Juan Artola,2000-04-07,177.0,Attack Right Winger,right,CAA Stellar
6331,255508,Iñaki Williams,1994-06-15,186.0,Attack Centre Forward,right,
6332,251897,Asier Villalibre,1997-09-30,184.0,Attack Centre Forward,left,
6333,34601,Raúl García,1986-07-11,184.0,Attack Centre Forward,right,Bahía Internacional
6334,226012,David Soria,1993-04-04,192.0,Goalkeeper,right,Promoesport
6335,246335,Rubén Yáñez,1993-10-12,188.0,Goalkeeper,right,Niagara Sports ...
6336,341713,Diego Conde,1998-10-28,188.0,Goalkeeper,,Manuel García ...
6337,221150,Djené,1991-12-31,178.0,Defender Centre Back,right,SPORTBACK
6338,302991,Erick Cabaco,1995-04-19,185.0,Defender Centre Back,right,InterStarDeporte
6339,143029,Stefan Mitrovic,1990-05-22,189.0,Defender Centre Back,both,
6340,70245,Ignasi Miquel,1992-09-28,189.0,Defender Centre Back,left,no agent
6341,248330,Chema Rodríguez,1992-03-03,189.0,Defender Centre Back,left,Sport Agency 4U
6342,577486,Gastón Álvarez,2000-03-24,184.0,Defender Centre Back,left,FGM
6343,783873,Álvaro López,1999-06-07,,Defender Centre Back,,
6344,857939,Chinchu,2002-03-05,,Defender Centre Back,,AIM fútbol
6345,284857,Marc Cucurella,1998-07-22,173.0,Defender Left Back,left,EMG Mundial
6346,376514,Mathías Olivera,1997-10-31,185.0,Defender Left Back,left,GBG Global Business ...
6347,189453,Jonathan Silva,1994-06-29,178.0,Defender Left Back,left,Sergio Esayan
6348,809639,Koffi,2001-11-20,,Defender Left Back,,JV SPORTS SL
6349,390688,Juan Iglesias,1998-07-03,187.0,Defender Right Back,right,IFM
6350,76746,Damián Suárez,1988-04-27,173.0,Defender Right Back,right,GBG Global Business ...
6351,111508,Allan Nyom,1988-05-10,189.0,Defender Right Back,right,JV SPORTS SL
6352,889717,Pablo Montero,2002-05-09,168.0,midfield,,
6353,357162,Florentino,1999-08-19,184.0,midfield Defensive Midfield,right,Team of Future
6354,137616,Okay Yokuslu,1994-03-09,191.0,midfield Defensive Midfield,right,FOOTALENT
6355,158795,David Timor,1989-10-17,185.0,midfield Defensive Midfield,left,Pedro Bravo - ...
6356,638589,Ángel Algobia,1999-06-23,188.0,midfield Defensive Midfield,right,JONATHAN SÁNCHEZ
6357,290249,Mauro Arambarri,1995-09-30,175.0,midfield Central Midfield,right,Relatives
6358,273152,Nemanja Maksimovic,1995-01-26,184.0,midfield Central Midfield,right,Promoesport
6359,284854,Carles Aleñá,1998-01-05,180.0,midfield Central Midfield,left,"Puyol, De la Peña ..."
6360,398163,Gonzalo Villar,1998-03-23,181.0,midfield Central Midfield,right,Footfeel ISM
6361,841121,John Joe Patrick Finn,2003-10-24,192.0,midfield Central Midfield,right,Niagara Sports ...
6362,708500,Totti,2001-12-14,181.0,midfield Central Midfield,right,
6363,319160,Jakub Jankto,1996-01-19,184.0,midfield Left Midfield,left,Gr Sports
6364,732096,Santi García,2001-08-29,184.0,midfield Attacking Midfield,,JONATHAN SÁNCHEZ
6365,891091,Diego López,2001-10-21,,midfield Attacking Midfield,,JONATHAN SÁNCHEZ
6366,67082,Vitolo,1989-11-02,184.0,Attack Left Winger,right,Bahía Internacional
6367,251106,Enes Ünal,1997-05-10,187.0,Attack Centre Forward,right,FutureBall
6368,298976,Borja Mayoral,1997-04-05,182.0,Attack Centre Forward,right,Footfeel ISM
6369,546047,José Juan Macías,1999-09-22,178.0,Attack Centre Forward,right,
6370,199369,Sandro Ramírez,1995-07-09,175.0,Attack Centre Forward,right,Wasserman
6371,227961,Jaime Mata,1988-10-24,186.0,Attack Centre Forward,right,Viasport
6372,399780,Darío Poveda,1997-03-13,187.0,Attack Centre Forward,right,Manuel García ...
6373,715650,Mamor Niang,2002-02-04,190.0,Attack Centre Forward,left,JV SPORTS SL
6374,34370,Diego López,1981-11-03,196.0,Goalkeeper,right,Manuel García ...
6375,561613,Joan García,2001-05-04,191.0,Goalkeeper,right,Niagara Sports ...
6376,8176,Oier Olazábal,1989-09-14,189.0,Goalkeeper,left,Sport Agency 4U
6377,102423,Leandro Cabrera,1991-06-17,190.0,Defender Centre Back,left,Relatives
6378,92947,Sergi Gómez,1992-03-28,185.0,Defender Centre Back,right,The Player ...
6379,357884,Fernando Calero,1995-09-14,184.0,Defender Centre Back,right,MRH Football Agency
6380,129444,David López,1989-10-09,185.0,Defender Centre Back,right,Sports and ...
6381,495600,Álvaro García,2000-06-01,184.0,Defender Centre Back,left,
6382,705810,Lluís Recasens,2002-02-19,183.0,Defender Centre Back,right,ROGON
6383,501418,Adrià Pedrosa,1998-05-13,172.0,Defender Left Back,left,JM10 SPORT
6384,67090,Dídac Vilà,1989-06-09,185.0,Defender Left Back,left,Sports and ...
6385,544106,Óscar Gil,1998-04-26,175.0,Defender Right Back,both,InterStarDeporte
6386,495601,Víctor Gómez,2000-04-01,169.0,Defender Right Back,right,SEG
6387,399775,Miguel Llambrich,1996-01-18,170.0,Defender Right Back,right,Promoesport
6388,705813,Rubén Sánchez,2001-02-04,185.0,Defender Right Back,right,OKON
6389,142021,Sergi Darder,1993-12-22,180.0,midfield Central Midfield,right,Eleven Talent Group
6390,378293,Yangel Herrera,1998-01-07,184.0,midfield Central Midfield,right,PARRI GROUP
6391,182581,Tonny Vilhena,1995-01-03,175.0,midfield Central Midfield,left,Team of Future
6392,295622,Keidi Bare,1997-08-28,174.0,midfield Central Midfield,right,Niagara Sports ...
6393,42920,Fran Mérida,1990-03-04,173.0,midfield Central Midfield,left,Antonio López ...
6394,646746,Roger Martínez,2004-04-05,177.0,midfield Central Midfield,right,
6395,628496,Dani Villahermosa,2001-01-02,174.0,midfield Central Midfield,right,Relatives
6396,548187,Alejandro Pérez,2001-01-07,,midfield Central Midfield,,InterStarDeporte
6397,448344,Óscar Melendo,1997-08-23,167.0,midfield Attacking Midfield,left,no agent
6398,705815,Gori,2002-05-15,,midfield Attacking Midfield,both,Jesus Medina Martin
6399,408471,Javi Puado,1998-05-25,177.0,Attack Left Winger,right,Best of You
6400,570421,Nico Melamed,2001-04-11,173.0,Attack Left Winger,right,Team Raiola
6401,162074,Álvaro Vadillo,1994-09-12,180.0,Attack Left Winger,right,YOU FIRST
6402,745461,Luca Koleosho,2004-09-15,175.0,Attack Left Winger,right,CAA Stellar
6403,288318,Adrián Embarba,1992-05-07,173.0,Attack Right Winger,right,
6404,140436,Lei Wu,1991-11-19,174.0,Attack Right Winger,right,
6405,88490,Aleix Vidal,1989-08-21,177.0,Attack Right Winger,right,Promoesport
6406,628498,Jofre Carreras,2001-06-17,175.0,Attack Right Winger,right,
6407,162038,Raúl de Tomás,1994-10-17,180.0,Attack Centre Forward,right,Relatives
6408,311489,Landry Dimata,1997-09-01,185.0,Attack Centre Forward,right,RGFOOTBALL
6409,705808,Max Svensson,2001-11-08,182.0,Attack Centre Forward,right,CAA Base Ltd
6410,199321,Rubén Blanco,1995-07-25,188.0,Goalkeeper,right,Media Base Sports
6411,144128,Matías Dituro,1987-05-08,191.0,Goalkeeper,right,Fernando Felicevich
6412,448835,Gaizka Campos,1997-05-16,190.0,Goalkeeper,right,YOU FIRST
6413,581640,Coke Carrillo,2002-01-07,188.0,Goalkeeper,right,
6414,646741,César Fernández,2004-01-28,181.0,Goalkeeper,right,Intermedia Sport ...
6415,358250,Joseph Aidoo,1995-09-29,177.0,Defender Centre Back,right,
6416,64134,Néstor Araújo,1991-08-29,188.0,Defender Centre Back,right,
6417,131102,Jeison Murillo,1992-05-27,182.0,Defender Centre Back,right,
6418,609361,José Fontán,2000-02-11,182.0,Defender Centre Back,left,YOU FIRST
6419,636093,Carlos Domínguez,2001-02-11,187.0,Defender Centre Back,left,InterStarDeporte
6420,740253,Javi Castro,2000-09-13,183.0,Defender Centre Back,right,YOU FIRST
6421,448628,Javi Galán,1994-11-19,172.0,Defender Left Back,left,YOU FIRST
6422,461619,Fernando Medrano,2000-03-26,172.0,Defender Left Back,left,MRH Football Agency
6423,119905,Hugo Mallo,1991-06-22,174.0,Defender Right Back,right,#LEADERS
6424,221315,Kevin Vázquez,1993-03-23,175.0,Defender Right Back,right,F.J.VILLAVERDE
6425,540676,Thomas Carrique,1999-02-26,173.0,Defender Right Back,right,Triunfo Futbol
6426,277137,Renato Tapia,1995-07-28,185.0,midfield Defensive Midfield,right,AGREF
6427,423444,Fran Beltrán,1999-02-03,165.0,midfield Central Midfield,right,InterStarDeporte
6428,334042,Orbelín Pineda,1996-03-24,169.0,midfield Central Midfield,right,Kick Talent
6429,715628,Damián Rodríguez,2003-03-17,,midfield Central Midfield,,Intermedia Sport ...
6430,892221,Hugo Sotelo,2003-12-19,180.0,midfield Central Midfield,,Bahía Internacional
6431,309110,Brais Méndez,1997-01-07,184.0,midfield Attacking Midfield,left,InterStarDeporte
6432,165007,Denis Suárez,1994-01-06,176.0,midfield Attacking Midfield,right,Intermedia Sport ...
6433,699704,Gabri Veiga,2002-05-27,185.0,midfield Attacking Midfield,right,Gol International
6434,523977,Miguel Baeza,2000-03-27,177.0,midfield Attacking Midfield,left,MRH Football Agency
6435,341110,Franco Cervi,1994-05-26,166.0,Attack Left Winger,left,Wasserman
6436,70934,Nolito,1986-10-15,175.0,Attack Left Winger,right,OFSPORTS
6437,357628,Alfon González,1999-05-04,172.0,Attack Left Winger,,Eugenio Botas ...
6438,892929,Hugo Álvarez,2003-07-02,176.0,Attack Left Winger,right,IFM
6439,282694,Augusto Solari,1992-01-03,176.0,Attack Right Winger,right,Hernan Berman
6440,72047,Iago Aspas,1987-08-01,176.0,Attack Centre Forward,left,Intermedia Sport ...
