season,Age,player_id,season_short
2015,28,33873,15/16
2015,33,16810,15/16
2015,29,27511,15/16
2015,22,157490,15/16
2015,19,245893,15/16
2015,17,316551,15/16
2015,25,57500,15/16
2015,18,236490,15/16
2015,28,30739,15/16
2015,28,54170,15/16
2015,18,236496,15/16
2015,21,176485,15/16
2015,24,50202,15/16
2015,19,281404,15/16
2015,19,131996,15/16
2015,29,39152,15/16
2015,28,45121,15/16
2015,17,331726,15/16
2015,23,108390,15/16
2015,21,128898,15/16
2015,20,157509,15/16
2015,22,148657,15/16
2015,34,3160,15/16
2015,17,303254,15/16
2015,31,36827,15/16
2015,26,74683,15/16
2015,28,8806,15/16
2015,19,202886,15/16
2015,23,85314,15/16
2015,18,258216,15/16
2015,26,52769,15/16
2015,26,44779,15/16
2015,25,37579,15/16
2015,33,19948,15/16
2015,27,54781,15/16
2015,24,90681,15/16
2015,34,2963,15/16
2015,16,277723,15/16
2015,29,7449,15/16
2015,29,15956,15/16
2015,32,26764,15/16
2015,19,210202,15/16
2015,27,51174,15/16
2015,25,114365,15/16
2015,32,13091,15/16
2015,18,261504,15/16
2015,29,35518,15/16
2015,18,229695,15/16
2015,20,134425,15/16
2015,18,225452,15/16
2015,26,81808,15/16
2015,18,272624,15/16
2015,28,40204,15/16
2015,37,3120,15/16
2015,29,9594,15/16
2015,20,277114,15/16
2015,17,258878,15/16
2015,29,46156,15/16
2015,18,277179,15/16
2015,30,20007,15/16
2015,17,251876,15/16
2015,30,26267,15/16
2015,20,181498,15/16
2015,20,201570,15/16
2015,25,50362,15/16
2015,28,18935,15/16
2015,17,277118,15/16
2015,18,214927,15/16
2015,27,26399,15/16
2015,18,295330,15/16
2015,26,73396,15/16
2015,20,220491,15/16
2015,30,6710,15/16
2015,20,215118,15/16
2015,29,43003,15/16
2015,20,191217,15/16
2015,24,74869,15/16
2015,31,17396,15/16
2015,20,206225,15/16
2015,19,242632,15/16
2015,24,50057,15/16
2015,23,74223,15/16
2015,33,7451,15/16
2015,17,326300,15/16
2015,19,242631,15/16
2015,17,314341,15/16
2015,23,131248,15/16
2015,22,121990,15/16
2015,28,82442,15/16
2015,22,127194,15/16
2015,33,5658,15/16
2015,22,111873,15/16
2015,29,76277,15/16
2015,24,149498,15/16
2015,25,44792,15/16
2015,22,160438,15/16
2015,17,287247,15/16
2015,17,351816,15/16
2015,17,314384,15/16
2015,30,15799,15/16
2015,21,143424,15/16
2015,26,35664,15/16
2015,34,132,15/16
2015,20,193593,15/16
2015,26,33713,15/16
2015,26,40433,15/16
2015,24,67063,15/16
2015,19,197642,15/16
2015,28,30690,15/16
2015,22,110864,15/16
2015,18,258919,15/16
2015,25,93176,15/16
2015,20,167268,15/16
2015,17,342046,15/16
2015,25,12282,15/16
2015,21,134414,15/16
2015,29,14086,15/16
2015,22,188862,15/16
2015,17,340194,15/16
2015,25,56818,15/16
2015,18,387036,15/16
2015,27,39679,15/16
2015,20,183293,15/16
2015,19,289843,15/16
2015,22,141660,15/16
2015,21,134424,15/16
2015,22,118535,15/16
2015,24,59377,15/16
2015,33,7589,15/16
2015,19,192611,15/16
2015,25,103427,15/16
2015,23,117996,15/16
2015,16,314388,15/16
2015,19,183288,15/16
2015,18,258879,15/16
2015,25,54906,15/16
2015,29,33544,15/16
2015,20,179451,15/16
2015,17,315131,15/16
2015,33,3878,15/16
2015,25,99343,15/16
2015,30,2514,15/16
2015,19,251058,15/16
2015,27,44068,15/16
2015,19,203394,15/16
2015,17,258923,15/16
2015,29,3332,15/16
2015,21,167850,15/16
2015,19,214104,15/16
2015,27,55247,15/16
2015,21,243591,15/16
2015,25,47713,15/16
2015,30,24180,15/16
2015,34,3202,15/16
2015,16,293784,15/16
2015,29,35571,15/16
2015,19,263556,15/16
2015,22,145922,15/16
2015,19,262545,15/16
2015,28,41414,15/16
2015,21,200782,15/16
2015,25,61651,15/16
2015,25,51452,15/16
2015,27,43530,15/16
2015,23,80444,15/16
2015,19,195652,15/16
2015,18,236510,15/16
2015,24,50201,15/16
2015,22,134294,15/16
2015,18,236513,15/16
2015,27,50219,15/16
2015,22,203026,15/16
2015,19,193861,15/16
2015,25,37838,15/16
2015,18,256178,15/16
2015,19,264193,15/16
2015,22,207917,15/16
2015,21,175745,15/16
2015,24,85177,15/16
2015,21,119296,15/16
2015,18,258924,15/16
2015,18,242273,15/16
2015,29,3333,15/16
2015,19,261357,15/16
2015,22,132214,15/16
2015,18,279457,15/16
2015,18,251845,15/16
2015,23,131789,15/16
2015,25,47082,15/16
2015,20,148368,15/16
2015,31,26276,15/16
2015,26,42710,15/16
2015,21,175722,15/16
2015,22,122675,15/16
2015,24,50174,15/16
2015,25,95424,15/16
2015,19,249126,15/16
2015,27,19368,15/16
2015,24,61834,15/16
2015,18,243589,15/16
2015,19,207929,15/16
2015,23,111630,15/16
2015,28,17965,15/16
2015,19,183301,15/16
2015,28,43250,15/16
2015,17,341049,15/16
2015,22,192765,15/16
2015,24,95810,15/16
2015,18,341051,15/16
2015,23,69633,15/16
2015,20,245537,15/16
2015,23,121279,15/16
2015,20,283655,15/16
2015,25,59631,15/16
2015,21,241119,15/16
2015,21,132098,15/16
2015,36,4267,15/16
2015,21,186590,15/16
2015,32,13520,15/16
2015,21,156934,15/16
2015,30,13507,15/16
2015,19,208244,15/16
2015,26,68390,15/16
