,player_id,season,Age,Competition,Club,club_id,position_group,New_season,Squad,Appearances,PPG,Goals,Assists,Penalty goals,Minutes per goal,market_value
1235,324358,2020,24,Premier League,Aston Villa,405,Attack,False,37,37,1.46,14,5,1,238,32000000.0
1238,665390,2020,18,Premier League,Aston Villa,405,Attack,False,7,1,3.0,0,0,0,0,500000.0
1239,61087,2017,27,Bundesliga,Bayer 04 Leverkusen,15,Attack,False,34,24,1.29,1,3,0,1142,12000000.0
1240,66058,2017,26,Bundesliga,Bayer 04 Leverkusen,15,Attack,False,19,12,1.5,2,3,0,350,5000000.0
1241,82009,2017,24,Bundesliga,Bayer 04 Leverkusen,15,Attack,False,32,31,1.65,14,2,0,186,22000000.0
1242,173491,2017,22,Bundesliga,Bayer 04 Leverkusen,15,Attack,False,21,7,1.14,1,0,0,110,1500000.0
1246,82009,2018,25,Bundesliga,Bayer 04 Leverkusen,15,Attack,False,34,34,1.71,14,12,0,201,30000000.0
1248,387626,2018,20,Bundesliga,Bayer 04 Leverkusen,15,Attack,False,30,29,1.55,5,2,0,383,40000000.0
1250,61087,2019,29,Bundesliga,Bayer 04 Leverkusen,15,Attack,False,28,26,1.81,4,8,0,356,12000000.0
1252,173491,2019,24,Bundesliga,Bayer 04 Leverkusen,15,Attack,False,8,1,1.0,0,0,0,0,800000.0
1253,193782,2019,26,Bundesliga,Bayer 04 Leverkusen,15,Attack,False,33,24,1.58,7,3,1,166,13500000.0
1256,428791,2019,18,Bundesliga,Bayer 04 Leverkusen,15,Attack,False,29,13,1.85,3,2,0,97,13500000.0
1258,173491,2020,25,Bundesliga,Bayer 04 Leverkusen,15,Attack,False,1,1,1.0,0,0,0,0,2500000.0
1259,173491,2020,25,Bundesliga,Bayer 04 Leverkusen,15,Attack,False,1,1,1.0,0,0,0,0,2500000.0
1261,242086,2020,24,Bundesliga,Bayer 04 Leverkusen,15,Attack,True,29,29,1.38,9,2,0,207,23000000.0
1262,292417,2020,24,Bundesliga,Bayer 04 Leverkusen,15,Attack,True,12,10,1.0,1,2,0,437,8000000.0
1264,395516,2020,20,Bundesliga,Bayer 04 Leverkusen,15,Attack,False,32,32,1.63,4,12,0,598,38000000.0
1265,428791,2020,19,Bundesliga,Bayer 04 Leverkusen,15,Attack,False,2,1,0.0,0,0,0,0,13000000.0
1266,580276,2020,17,Bundesliga,Bayer 04 Leverkusen,15,Attack,False,12,1,0.0,0,0,0,0,1000000.0
1270,193782,2021,28,Bundesliga,Bayer 04 Leverkusen,15,Attack,False,29,27,1.74,6,0,0,106,8000000.0
1271,242086,2021,25,Bundesliga,Bayer 04 Leverkusen,15,Attack,False,27,27,1.96,24,5,1,87,50000000.0
1272,395516,2021,21,Bundesliga,Bayer 04 Leverkusen,15,Attack,False,32,32,2.0,13,12,0,213,60000000.0
1274,532776,2021,21,Bundesliga,Bayer 04 Leverkusen,15,Attack,True,25,25,1.76,3,2,0,418,12000000.0
1275,580276,2021,18,Bundesliga,Bayer 04 Leverkusen,15,Attack,False,5,0,0.0,0,0,0,0,1200000.0
1276,741292,2021,16,Bundesliga,Bayer 04 Leverkusen,15,Attack,False,2,1,1.0,0,0,0,0,1000000.0
1277,126716,2018,24,Bundesliga,Borussia Dortmund,16,Attack,False,28,26,2.35,18,0,1,67,37000000.0
1278,143891,2018,24,Bundesliga,Borussia Dortmund,16,Attack,False,23,18,2.28,1,1,0,756,13000000.0
1280,315779,2018,19,Bundesliga,Borussia Dortmund,16,Attack,False,24,20,2.3,4,4,0,232,60000000.0
1281,401173,2018,18,Bundesliga,Borussia Dortmund,16,Attack,False,34,34,2.24,12,18,0,205,100000000.0
1283,126716,2019,25,Bundesliga,Borussia Dortmund,16,Attack,False,14,11,1.64,5,1,0,105,28000000.0
1284,126716,2019,25,Bundesliga,Borussia Dortmund,16,Attack,False,14,11,1.64,5,1,0,105,28000000.0
1286,293281,2019,20,Bundesliga,Borussia Dortmund,16,Attack,False,15,4,1.5,0,1,0,0,11000000.0
1287,293281,2019,20,Bundesliga,Borussia Dortmund,16,Attack,False,15,4,1.5,0,1,0,0,11000000.0
1288,401173,2019,19,Bundesliga,Borussia Dortmund,16,Attack,False,33,32,1.97,17,17,0,135,117000000.0
1289,418560,2019,18,Bundesliga,Borussia Dortmund,16,Attack,False,15,15,2.2,13,3,0,82,72000000.0
1290,102226,2020,27,Bundesliga,Borussia Dortmund,16,Attack,False,19,16,2.13,1,3,0,654,27000000.0
1291,296879,2020,21,Bundesliga,Borussia Dortmund,16,Attack,False,14,6,1.5,0,0,0,0,1200000.0
1293,418560,2020,19,Bundesliga,Borussia Dortmund,16,Attack,False,28,28,1.93,27,8,2,89,130000000.0
1295,467720,2020,15,Bundesliga,Borussia Dortmund,16,Attack,False,18,14,1.14,3,0,0,137,18000000.0
1297,296879,2021,22,Bundesliga,Borussia Dortmund,16,Attack,False,16,9,2.0,3,0,0,34,1500000.0
1299,418560,2021,20,Bundesliga,Borussia Dortmund,16,Attack,False,24,24,2.08,22,8,6,87,150000000.0
1300,429874,2021,19,Bundesliga,Borussia Dortmund,16,Attack,False,15,5,1.8,0,0,0,0,10000000.0
1301,429874,2021,19,Bundesliga,Borussia Dortmund,16,Attack,False,15,5,1.8,0,0,0,0,10000000.0
1302,467720,2021,16,Bundesliga,Borussia Dortmund,16,Attack,False,23,16,1.75,2,2,0,105,15000000.0
1304,670882,2021,16,Bundesliga,Borussia Dortmund,16,Attack,False,5,4,1.5,0,0,0,0,4000000.0
1306,54581,2019,29,Serie A,Udinese Calcio,410,Attack,False,38,28,1.21,3,1,0,416,2800000.0
1307,131951,2019,26,Serie A,Udinese Calcio,410,Attack,False,37,36,1.17,10,1,0,257,5500000.0
1308,283528,2019,23,Serie A,Udinese Calcio,410,Attack,False,18,12,1.08,1,0,0,333,6500000.0
1309,35249,2020,30,Serie A,Udinese Calcio,410,Attack,False,26,22,0.82,4,1,0,373,2000000.0
1310,44948,2020,30,Serie A,Udinese Calcio,410,Attack,False,25,19,0.58,1,1,0,536,900000.0
1311,54581,2020,30,Serie A,Udinese Calcio,410,Attack,False,31,22,0.95,2,2,0,344,1300000.0
1313,131951,2020,27,Serie A,Udinese Calcio,410,Attack,False,18,17,0.82,2,1,0,552,6000000.0
1314,131951,2020,27,Serie A,Udinese Calcio,410,Attack,False,18,17,0.82,2,1,0,552,6000000.0
1315,283528,2020,24,Serie A,Udinese Calcio,410,Attack,False,11,11,1.36,3,2,0,252,5000000.0
1316,39106,2021,33,Bundesliga,1.FSV Mainz 05,39,Attack,False,12,12,1.83,1,0,0,251,500000.0
1317,119234,2021,29,Bundesliga,1.FSV Mainz 05,39,Attack,False,31,31,1.35,5,9,0,475,3500000.0
1318,269878,2021,25,Bundesliga,1.FSV Mainz 05,39,Attack,False,27,26,1.27,6,0,1,111,2500000.0
1319,269878,2021,25,Bundesliga,1.FSV Mainz 05,39,Attack,False,27,26,1.27,6,0,1,111,2500000.0
1321,436585,2021,22,Bundesliga,1.FSV Mainz 05,39,Attack,False,4,3,2.0,1,0,0,24,2000000.0
1323,658116,2021,18,Bundesliga,1.FSV Mainz 05,39,Attack,False,4,0,0.0,0,0,0,0,250000.0
1324,36182,2017,29,Bundesliga,SV Werder Bremen,86,Attack,False,29,29,1.31,6,8,0,409,12000000.0
1325,106270,2017,24,Bundesliga,SV Werder Bremen,86,Attack,False,33,30,1.13,3,3,0,561,4000000.0
1328,36182,2018,30,Bundesliga,SV Werder Bremen,86,Attack,False,32,32,1.47,11,10,3,258,12000000.0
1333,173491,2020,25,Bundesliga,1.FC Union Berlin,89,Attack,False,20,19,1.42,6,0,0,142,2500000.0
1334,173491,2020,25,Bundesliga,1.FC Union Berlin,89,Attack,False,20,19,1.42,6,0,0,142,2500000.0
1335,188888,2020,25,Bundesliga,1.FC Union Berlin,89,Attack,False,19,18,1.61,3,3,0,372,3000000.0
1336,207597,2020,23,Bundesliga,1.FC Union Berlin,89,Attack,True,31,24,1.46,3,1,0,247,1700000.0
1338,295313,2020,22,Bundesliga,1.FC Union Berlin,89,Attack,True,22,21,1.48,5,3,0,273,5000000.0
1339,36182,2021,33,Bundesliga,VfL Wolfsburg,82,Attack,True,14,14,1.5,7,1,2,162,3500000.0
1340,36182,2021,33,Bundesliga,VfL Wolfsburg,82,Attack,True,14,14,1.5,7,1,2,162,3500000.0
1342,79501,2021,30,Bundesliga,VfL Wolfsburg,82,Attack,False,14,2,1.5,0,0,0,0,900000.0
1345,196095,2021,25,Bundesliga,VfL Wolfsburg,82,Attack,True,20,14,0.57,1,2,0,718,7000000.0
1346,228645,2021,28,Bundesliga,VfL Wolfsburg,82,Attack,False,18,18,1.0,6,1,1,259,14000000.0
1348,303259,2021,23,Bundesliga,VfL Wolfsburg,82,Attack,True,29,19,0.95,1,3,0,872,7500000.0
1349,303259,2021,23,Bundesliga,VfL Wolfsburg,82,Attack,True,29,19,0.95,1,3,0,872,7500000.0
1350,314288,2021,22,Bundesliga,VfL Wolfsburg,82,Attack,False,25,25,1.24,8,1,0,204,18000000.0
1351,391004,2021,22,Bundesliga,VfL Wolfsburg,82,Attack,False,14,14,1.5,5,1,0,237,14000000.0
1352,445939,2021,22,Bundesliga,VfL Wolfsburg,82,Attack,False,3,2,3.0,0,0,0,0,6000000.0
1353,535551,2021,19,Bundesliga,VfL Wolfsburg,82,Attack,False,19,12,1.58,0,0,0,0,4000000.0
1354,36182,2021,33,Bundesliga,1.FC Union Berlin,89,Attack,False,18,16,1.94,5,5,3,257,3500000.0
1355,36182,2021,33,Bundesliga,1.FC Union Berlin,89,Attack,False,18,16,1.94,5,5,3,257,3500000.0
1357,117432,2021,30,Bundesliga,1.FC Union Berlin,89,Attack,False,29,24,1.75,2,3,0,238,900000.0
1358,142281,2021,30,Bundesliga,1.FC Union Berlin,89,Attack,False,13,3,0.0,0,0,0,0,500000.0
1359,186988,2021,30,Bundesliga,1.FC Union Berlin,89,Attack,False,14,13,1.54,3,2,0,110,1200000.0
1362,269878,2021,25,Bundesliga,1.FC Union Berlin,89,Attack,False,2,2,1.0,0,0,0,0,2500000.0
1363,269878,2021,25,Bundesliga,1.FC Union Berlin,89,Attack,False,2,2,1.0,0,0,0,0,2500000.0
1365,356118,2021,24,Bundesliga,1.FC Union Berlin,89,Attack,False,3,0,0.0,0,0,0,0,400000.0
1366,36371,2017,29,Serie A,AC Milan,5,Attack,True,32,31,1.55,6,5,0,302,14000000.0
1367,36371,2017,29,Serie A,AC Milan,5,Attack,True,32,31,1.55,6,5,0,302,14000000.0
1368,111961,2017,23,Serie A,AC Milan,5,Attack,False,36,35,1.74,6,8,0,474,35000000.0
1370,265078,2017,19,Serie A,AC Milan,5,Attack,False,38,28,1.71,10,4,0,151,23000000.0
1372,45389,2020,31,Serie A,Hellas Verona,276,Attack,False,14,11,1.82,0,0,0,0,1200000.0
1373,131951,2020,27,Serie A,Hellas Verona,276,Attack,True,19,19,0.79,2,0,0,634,6000000.0
1374,131951,2020,27,Serie A,Hellas Verona,276,Attack,True,19,19,0.79,2,0,0,634,6000000.0
1378,550106,2020,18,Serie A,Hellas Verona,276,Attack,False,4,0,0.0,0,0,0,0,100000.0
1381,45389,2021,32,Serie A,Hellas Verona,276,Attack,False,1,1,0.0,0,0,0,0,600000.0
1383,131951,2021,28,Serie A,Hellas Verona,276,Attack,False,34,28,1.18,2,4,0,587,3500000.0
1384,146752,2021,27,Serie A,Hellas Verona,276,Attack,True,35,35,1.51,12,7,2,229,10000000.0
1385,282388,2021,25,Serie A,Hellas Verona,276,Attack,True,36,35,1.51,17,6,0,157,17000000.0
1386,283735,2021,26,Serie A,Hellas Verona,276,Attack,False,2,2,0.0,2,0,1,90,18000000.0
1387,506941,2021,19,Serie A,Hellas Verona,276,Attack,False,3,0,0.0,0,0,0,0,450000.0
1388,550106,2021,19,Serie A,Hellas Verona,276,Attack,False,31,12,0.17,1,0,0,217,3000000.0
1389,704423,2021,17,Serie A,Hellas Verona,276,Attack,False,1,0,0.0,0,0,0,0,150000.0
1392,129078,2017,23,Premier League,Southampton FC,180,Attack,False,35,31,0.97,1,3,0,1945,18000000.0
1393,184672,2017,26,Premier League,Southampton FC,180,Attack,False,8,7,0.86,0,1,0,0,15000000.0
1397,112343,2018,26,Premier League,Southampton FC,180,Attack,False,12,12,0.5,1,0,0,470,12000000.0
1398,112343,2018,26,Premier League,Southampton FC,180,Attack,False,12,12,0.5,1,0,0,470,12000000.0
1402,444208,2018,17,Premier League,Southampton FC,180,Attack,False,6,6,0.83,1,1,0,134,1000000.0
1403,37304,2019,32,Premier League,Southampton FC,180,Attack,False,31,26,1.54,2,3,0,699,2800000.0
1404,129078,2019,25,Premier League,Southampton FC,180,Attack,False,32,32,1.41,4,4,0,692,16000000.0
1405,134294,2019,26,Premier League,Southampton FC,180,Attack,False,38,38,1.37,22,2,1,128,17500000.0
1410,444208,2019,18,Premier League,Southampton FC,180,Attack,False,31,21,1.43,3,2,0,219,4500000.0
1412,37834,2018,29,Serie A,SS Lazio,398,Attack,False,35,28,1.68,8,2,1,172,3000000.0
1414,227081,2018,23,Serie A,SS Lazio,398,Attack,False,36,34,1.47,5,6,0,383,20000000.0
1416,37834,2019,30,Serie A,SS Lazio,398,Attack,False,36,30,2.13,9,5,0,157,4800000.0
1417,105521,2019,29,Serie A,SS Lazio,398,Attack,False,37,37,2.11,36,8,14,88,40000000.0
1418,227081,2019,24,Serie A,SS Lazio,398,Attack,False,31,30,2.23,9,4,0,223,30500000.0
1419,228761,2019,27,Serie A,SS Lazio,398,Attack,False,36,24,2.04,0,1,0,0,6800000.0
1421,38410,2017,29,Bundesliga,FC Schalke 04,33,Attack,False,33,33,1.88,6,11,3,486,7500000.0
1422,205940,2017,22,Bundesliga,FC Schalke 04,33,Attack,True,15,7,1.86,2,0,0,130,15000000.0
1423,205940,2017,22,Bundesliga,FC Schalke 04,33,Attack,True,15,7,1.86,2,0,0,130,15000000.0
1424,207597,2017,20,Bundesliga,FC Schalke 04,33,Attack,False,9,4,2.5,0,0,0,0,1500000.0
1425,237662,2017,20,Bundesliga,FC Schalke 04,33,Attack,False,28,21,1.71,3,3,0,304,18000000.0
1426,38410,2018,30,Bundesliga,FC Schalke 04,33,Attack,False,31,31,0.94,7,5,4,394,6500000.0
1428,207597,2018,21,Bundesliga,FC Schalke 04,33,Attack,False,13,5,0.4,0,0,0,0,1500000.0
1429,237662,2018,21,Bundesliga,FC Schalke 04,33,Attack,False,21,20,0.85,5,4,0,270,14000000.0
1431,112935,2019,27,Bundesliga,FC Schalke 04,33,Attack,False,11,8,1.75,0,0,0,0,6000000.0
1432,120205,2019,25,Bundesliga,FC Schalke 04,33,Attack,True,17,14,0.57,1,1,0,831,5500000.0
1433,120205,2019,25,Bundesliga,FC Schalke 04,33,Attack,True,17,14,0.57,1,1,0,831,5500000.0
1434,38410,2020,32,Bundesliga,FC Augsburg,167,Attack,True,33,33,1.09,6,5,2,445,2000000.0
1437,120205,2020,26,Bundesliga,FC Augsburg,167,Attack,True,31,24,1.29,1,2,0,827,3000000.0
1439,279009,2020,22,Bundesliga,FC Augsburg,167,Attack,False,30,29,0.9,3,3,0,473,5000000.0
1444,90024,2021,32,Bundesliga,FC Augsburg,167,Attack,False,18,10,1.1,2,1,0,143,700000.0
1447,283001,2021,24,Bundesliga,FC Augsburg,167,Attack,False,17,14,0.93,1,0,0,230,1000000.0
1448,345468,2021,22,Bundesliga,FC Augsburg,167,Attack,True,24,22,0.91,2,2,0,514,2300000.0
1449,345468,2021,22,Bundesliga,FC Augsburg,167,Attack,True,24,22,0.91,2,2,0,514,2300000.0
1450,345886,2021,22,Bundesliga,FC Augsburg,167,Attack,False,29,29,1.0,1,3,0,2000,8000000.0
1451,377387,2021,23,Bundesliga,FC Augsburg,167,Attack,False,14,13,1.08,0,0,0,0,1000000.0
1452,627207,2021,18,Bundesliga,FC Augsburg,167,Attack,False,16,11,0.73,0,0,0,0,9000000.0
1454,134983,2021,30,Serie A,FC Empoli,749,Attack,True,38,18,1.06,2,1,0,238,1300000.0
1455,160344,2021,29,Serie A,FC Empoli,749,Attack,False,22,8,0.5,1,0,0,426,2700000.0
1457,315865,2021,22,Serie A,FC Empoli,749,Attack,False,36,36,1.06,13,2,4,221,20000000.0
1458,603891,2021,19,Serie A,FC Empoli,749,Attack,False,2,0,0.0,0,0,0,0,300000.0
1460,174915,2017,29,Premier League,Newcastle United,762,Attack,True,4,4,1.5,0,1,0,0,18000000.0
1461,196522,2017,27,Premier League,Newcastle United,762,Attack,False,36,35,1.06,6,3,0,326,10000000.0
1462,199527,2017,22,Premier League,Newcastle United,762,Attack,False,36,25,0.88,1,1,0,1144,7000000.0
1464,281404,2017,21,Premier League,Newcastle United,762,Attack,True,13,13,1.38,2,2,0,515,10000000.0
1465,196522,2019,29,Premier League,Newcastle United,762,Attack,False,27,20,0.8,4,2,0,212,9500000.0
1466,272642,2019,22,Premier League,Newcastle United,762,Attack,True,27,26,1.46,3,5,0,625,20000000.0
1468,39106,2017,29,Bundesliga,TSG 1899 Hoffenheim,533,Attack,False,24,18,1.44,5,1,0,178,3000000.0
1470,68033,2017,25,Bundesliga,TSG 1899 Hoffenheim,533,Attack,False,34,20,1.3,1,2,0,1441,7000000.0
1471,112935,2017,25,Bundesliga,TSG 1899 Hoffenheim,533,Attack,False,31,31,1.65,14,8,0,155,18000000.0
1472,159471,2017,21,Bundesliga,TSG 1899 Hoffenheim,533,Attack,True,22,22,1.77,10,7,0,152,20000000.0
1473,284010,2017,18,Bundesliga,TSG 1899 Hoffenheim,533,Attack,False,5,3,1.0,1,0,0,67,500000.0
1474,39106,2018,30,Bundesliga,TSG 1899 Hoffenheim,533,Attack,False,32,30,1.37,6,5,0,270,3000000.0
1475,46580,2018,27,Bundesliga,TSG 1899 Hoffenheim,533,Attack,False,31,30,1.57,17,4,5,141,38000000.0
1476,68033,2018,26,Bundesliga,TSG 1899 Hoffenheim,533,Attack,False,16,9,1.44,0,1,0,0,7000000.0
1478,185077,2018,25,Bundesliga,TSG 1899 Hoffenheim,533,Attack,True,12,7,1.43,1,2,1,332,9000000.0
1481,119234,2019,27,Bundesliga,1.FSV Mainz 05,39,Attack,False,32,32,1.06,4,7,0,430,3500000.0
1483,333647,2019,18,Bundesliga,1.FSV Mainz 05,39,Attack,False,25,8,1.25,1,0,0,250,1800000.0
1484,420002,2019,22,Bundesliga,1.FSV Mainz 05,39,Attack,False,19,18,1.0,3,1,1,352,17500000.0
1485,39106,2020,32,Bundesliga,1.FSV Mainz 05,39,Attack,True,21,18,1.44,1,0,0,732,400000.0
1486,119234,2020,28,Bundesliga,1.FSV Mainz 05,39,Attack,False,31,31,1.13,4,3,0,461,3500000.0
1488,420002,2020,23,Bundesliga,1.FSV Mainz 05,39,Attack,False,16,15,0.4,7,1,1,143,13000000.0
1489,503160,2020,17,Bundesliga,1.FSV Mainz 05,39,Attack,False,7,4,0.0,0,0,0,0,800000.0
1491,171209,2018,25,Bundesliga,Eintracht Frankfurt,24,Attack,False,6,1,3.0,0,0,0,0,600000.0
1492,181547,2018,23,Bundesliga,Eintracht Frankfurt,24,Attack,False,19,11,1.91,3,1,0,129,6000000.0
1493,187587,2018,24,Bundesliga,Eintracht Frankfurt,24,Attack,False,28,28,1.61,9,4,0,221,40000000.0
1494,257462,2018,20,Bundesliga,Eintracht Frankfurt,24,Attack,False,34,32,1.59,17,6,1,132,60000000.0
1496,187587,2019,25,Bundesliga,Eintracht Frankfurt,24,Attack,False,1,1,3.0,0,0,0,0,24000000.0
1497,198008,2019,23,Bundesliga,Eintracht Frankfurt,24,Attack,True,29,25,1.2,12,4,1,131,16000000.0
1498,68033,2020,28,Bundesliga,Eintracht Frankfurt,24,Attack,True,33,20,1.95,0,3,0,0,2500000.0
1501,257462,2020,22,Bundesliga,Eintracht Frankfurt,24,Attack,False,19,18,1.89,4,1,0,222,20000000.0
1502,257462,2020,22,Bundesliga,Eintracht Frankfurt,24,Attack,False,19,18,1.89,4,1,0,222,20000000.0
1503,416380,2020,21,Bundesliga,Eintracht Frankfurt,24,Attack,False,11,7,2.29,1,0,0,92,1800000.0
1505,181547,2021,26,Bundesliga,Eintracht Frankfurt,24,Attack,True,26,18,0.83,3,0,1,168,3000000.0
1506,323831,2021,25,Bundesliga,Eintracht Frankfurt,24,Attack,False,32,31,1.32,8,6,0,299,20000000.0
1507,386914,2021,24,Bundesliga,Eintracht Frankfurt,24,Attack,True,24,15,1.0,1,0,0,512,3000000.0
1508,416380,2021,22,Bundesliga,Eintracht Frankfurt,24,Attack,False,19,13,1.23,0,1,0,0,1500000.0
1510,429874,2021,19,Bundesliga,Eintracht Frankfurt,24,Attack,False,14,12,1.08,1,1,0,760,10000000.0
1511,429874,2021,19,Bundesliga,Eintracht Frankfurt,24,Attack,False,14,12,1.08,1,1,0,760,10000000.0
1512,79501,2017,26,Bundesliga,VfB Stuttgart,79,Attack,False,24,23,1.91,7,0,1,218,3500000.0
1514,245744,2017,22,Bundesliga,VfB Stuttgart,79,Attack,False,21,15,0.93,1,0,0,718,2000000.0
1515,293169,2017,19,Bundesliga,VfB Stuttgart,79,Attack,True,16,14,1.0,1,1,0,725,5500000.0
1517,157635,2017,23,Bundesliga,RB Leipzig,23826,Attack,False,33,30,1.53,4,3,0,415,10000000.0
1519,264956,2017,20,Bundesliga,RB Leipzig,23826,Attack,True,31,25,1.64,9,5,1,141,20000000.0
1520,406040,2017,19,Bundesliga,RB Leipzig,23826,Attack,True,14,11,1.27,5,4,0,115,12000000.0
1522,170527,2018,22,Bundesliga,RB Leipzig,23826,Attack,False,30,30,1.97,16,9,0,158,65000000.0
1523,264956,2018,21,Bundesliga,RB Leipzig,23826,Attack,False,27,17,1.35,3,0,0,151,16000000.0
1524,517894,2018,19,Bundesliga,RB Leipzig,23826,Attack,False,34,25,1.8,2,1,0,422,15000000.0
1525,119115,2017,26,Serie A,ACF Fiorentina,430,Attack,True,16,12,1.92,0,1,0,0,3800000.0
1526,119115,2017,26,Serie A,ACF Fiorentina,430,Attack,True,16,12,1.92,0,1,0,0,3800000.0
1528,341092,2017,19,Serie A,ACF Fiorentina,430,Attack,False,36,36,1.5,6,7,0,504,45000000.0
1531,60957,2021,30,Bundesliga,VfL Bochum,80,Attack,True,33,33,1.27,10,2,1,235,2200000.0
1532,79967,2021,30,Bundesliga,VfL Bochum,80,Attack,True,10,10,1.0,3,2,0,198,1100000.0
1533,148824,2021,27,Bundesliga,VfL Bochum,80,Attack,False,12,6,1.0,1,0,0,74,400000.0
1536,245744,2021,26,Bundesliga,VfL Bochum,80,Attack,True,28,27,1.52,3,4,0,539,3000000.0
1538,289182,2021,27,Bundesliga,VfL Bochum,80,Attack,False,29,25,1.04,1,2,0,1127,1000000.0
1540,571140,2021,18,Bundesliga,VfL Bochum,80,Attack,False,3,1,0.0,0,0,0,0,200000.0
1542,120205,2017,23,Bundesliga,FC Augsburg,167,Attack,False,33,32,1.19,13,4,1,195,14000000.0
1544,377387,2017,19,Bundesliga,FC Augsburg,167,Attack,False,28,26,1.12,2,2,0,282,1500000.0
1546,42783,2018,27,Bundesliga,FC Augsburg,167,Attack,True,29,28,1.07,4,5,0,512,3500000.0
1548,120205,2018,24,Bundesliga,FC Augsburg,167,Attack,False,32,32,0.88,6,2,1,415,12000000.0
1554,120205,2019,25,Bundesliga,FC Augsburg,167,Attack,False,14,6,0.33,0,0,0,0,5500000.0
1555,120205,2019,25,Bundesliga,FC Augsburg,167,Attack,False,14,6,0.33,0,0,0,0,5500000.0
1557,279009,2019,21,Bundesliga,FC Augsburg,167,Attack,False,32,31,1.13,4,3,0,572,8000000.0
1558,283001,2019,22,Bundesliga,FC Augsburg,167,Attack,False,18,10,0.9,1,0,0,378,725000.0
1560,377387,2019,21,Bundesliga,FC Augsburg,167,Attack,False,21,16,1.38,2,1,0,180,1600000.0
1561,405568,2019,18,Bundesliga,FC Augsburg,167,Attack,False,1,0,0.0,0,0,0,0,325000.0
1562,46791,2017,29,Premier League,Crystal Palace,873,Attack,False,20,16,1.06,3,0,0,156,5000000.0
1564,61842,2017,25,Premier League,Crystal Palace,873,Attack,False,37,36,1.14,2,8,0,1565,15000000.0
1566,238407,2017,21,Premier League,Crystal Palace,873,Attack,False,9,4,0.0,0,0,0,0,7000000.0
1568,46791,2018,30,Premier League,Crystal Palace,873,Attack,False,7,4,2.25,0,0,0,0,4000000.0
1570,61842,2018,26,Premier League,Crystal Palace,873,Attack,False,38,38,1.29,6,5,0,503,15000000.0
1571,108354,2018,26,Premier League,Crystal Palace,873,Attack,False,36,20,1.4,1,2,0,1186,8000000.0
1573,238407,2018,22,Premier League,Crystal Palace,873,Attack,False,17,12,0.92,0,0,0,0,6000000.0
1574,45671,2019,28,Premier League,Crystal Palace,873,Attack,True,5,5,1.6,1,0,0,176,12000000.0
1577,108354,2019,27,Premier League,Crystal Palace,873,Attack,False,38,37,1.16,9,2,0,351,6500000.0
1579,50201,2020,29,Premier League,Crystal Palace,873,Attack,False,34,30,1.07,10,1,0,182,9000000.0
1580,61842,2020,28,Premier League,Crystal Palace,873,Attack,False,38,34,1.18,1,5,0,2258,7000000.0
1581,108354,2020,28,Premier League,Crystal Palace,873,Attack,False,36,33,1.09,1,3,0,2097,8000000.0
1582,145988,2020,27,Premier League,Crystal Palace,873,Attack,False,30,30,1.3,11,2,2,238,45000000.0
1583,420002,2020,23,Premier League,Crystal Palace,873,Attack,True,18,7,0.57,1,0,0,218,13000000.0
1586,108354,2021,29,Premier League,Crystal Palace,873,Attack,False,37,31,1.13,3,3,0,675,6000000.0
1587,145988,2021,28,Premier League,Crystal Palace,873,Attack,False,33,33,1.3,14,1,5,197,38000000.0
1588,344152,2021,23,Premier League,Crystal Palace,873,Attack,True,35,28,1.36,6,3,1,261,17000000.0
1591,586834,2021,18,Premier League,Crystal Palace,873,Attack,False,7,2,1.5,0,0,0,0,500000.0
1594,42936,2017,28,Bundesliga,SC Freiburg,60,Attack,False,32,32,1.09,15,1,5,148,12000000.0
1596,248999,2017,22,Bundesliga,SC Freiburg,60,Attack,False,16,14,1.0,1,0,0,916,2000000.0
1598,152963,2018,27,Bundesliga,SC Freiburg,60,Attack,False,29,24,0.83,4,1,0,242,3500000.0
1599,185077,2018,25,Bundesliga,SC Freiburg,60,Attack,False,16,16,0.94,6,4,1,239,9000000.0
1600,196095,2018,22,Bundesliga,SC Freiburg,60,Attack,False,32,30,1.03,9,3,3,190,12000000.0
1603,42936,2019,30,Bundesliga,SC Freiburg,60,Attack,False,34,34,1.41,11,2,1,221,6500000.0
1604,185077,2019,26,Bundesliga,SC Freiburg,60,Attack,False,26,26,1.35,4,9,1,405,5500000.0
1605,196095,2019,23,Bundesliga,SC Freiburg,60,Attack,False,24,23,1.57,7,3,3,181,16000000.0
1606,248999,2019,24,Bundesliga,SC Freiburg,60,Attack,False,34,34,1.41,8,5,0,312,3200000.0
1607,297583,2019,19,Bundesliga,SC Freiburg,60,Attack,False,5,0,0.0,0,0,0,0,1800000.0
1608,332798,2019,22,Bundesliga,SC Freiburg,60,Attack,False,32,21,1.14,2,1,0,585,3500000.0
1609,42936,2020,31,Bundesliga,SC Freiburg,60,Attack,False,33,32,1.22,8,1,1,161,3000000.0
1610,185077,2020,27,Bundesliga,SC Freiburg,60,Attack,True,32,31,1.35,9,10,4,259,12000000.0
1611,248999,2020,25,Bundesliga,SC Freiburg,60,Attack,False,33,33,1.36,4,5,0,524,4000000.0
1613,332798,2020,23,Bundesliga,SC Freiburg,60,Attack,False,28,28,1.32,8,6,1,209,13000000.0
1614,335457,2020,22,Bundesliga,SC Freiburg,60,Attack,False,32,30,1.4,5,10,0,301,12000000.0
