,player_id,season,Age,Competition,Club,club_id,position_group,New_season,Squad,Appearances,club_clean_sheet,player_clean_sheet,Goals conceded,PPG,Goals,Own goals,Assists,Penalty goals,Yellow cards,Second yellow cards,Red cards,Substitutions on,Substitutions off,Minutes played,Minutes per goal,market_value
1716,302215,2017,22,Bundesliga,RB Leipzig,23826,midfield,False,28,27,6,0,0,1.59,6,0,5,0,7,1,1,4,9,1966,328,65000000.0
1717,40074,2018,29,Bundesliga,RB Leipzig,23826,midfield,False,29,19,16,0,0,1.89,0,0,0,0,5,0,1,9,2,926,0,4500000.0
1719,82070,2018,26,Bundesliga,RB Leipzig,23826,midfield,False,29,26,16,0,0,1.88,0,0,2,0,4,0,0,2,8,2062,0,17000000.0
1720,106987,2018,24,Bundesliga,RB Leipzig,23826,midfield,False,31,30,16,0,0,2.17,4,1,5,0,9,0,0,4,6,2353,588,25000000.0
1721,111078,2018,26,Bundesliga,RB Leipzig,23826,midfield,False,22,20,16,0,0,2.1,4,0,8,3,0,0,0,6,11,1254,314,25000000.0
1724,392765,2018,17,Bundesliga,RB Leipzig,23826,midfield,False,4,3,16,0,0,1.33,0,0,0,0,0,0,0,3,0,26,0,4000000.0
1725,402008,2018,20,Bundesliga,RB Leipzig,23826,midfield,False,9,9,16,0,0,2.22,1,0,0,0,1,0,0,5,2,374,374,20000000.0
1726,40633,2017,28,Serie A,ACF Fiorentina,430,midfield,False,29,27,15,0,0,1.56,2,0,0,0,7,1,0,0,4,2356,1178,15000000.0
1729,201040,2017,22,Serie A,ACF Fiorentina,430,midfield,True,37,35,15,0,0,1.51,5,0,2,0,6,0,0,0,15,2795,559,13000000.0
1732,199633,2021,28,Bundesliga,VfL Bochum,80,midfield,False,7,0,7,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,250000.0
1735,280575,2021,23,Bundesliga,VfL Bochum,80,midfield,True,32,32,7,0,0,1.28,0,0,0,0,5,0,0,2,17,2556,0,4000000.0
1736,443331,2021,21,Bundesliga,VfL Bochum,80,midfield,False,29,13,7,0,0,0.69,0,0,2,0,2,0,0,7,3,593,0,900000.0
1739,156779,2017,22,Bundesliga,FC Augsburg,167,midfield,False,10,6,9,0,0,1.67,0,0,0,0,1,0,0,4,2,167,0,5000000.0
1741,63022,2018,28,Bundesliga,FC Augsburg,167,midfield,False,18,13,6,0,0,0.69,0,0,2,0,1,0,0,6,5,757,0,750000.0
1746,124410,2019,25,Bundesliga,FC Augsburg,167,midfield,False,33,32,7,0,0,1.13,0,0,2,0,8,0,0,0,9,2657,0,8000000.0
1748,249157,2019,21,Bundesliga,FC Augsburg,167,midfield,False,16,10,7,0,0,1.1,1,0,1,0,0,0,0,5,4,454,454,2000000.0
1750,41416,2017,29,Premier League,Crystal Palace,873,midfield,False,35,33,7,0,0,1.27,5,0,1,0,5,0,0,6,9,2434,487,6000000.0
1753,202886,2017,21,Premier League,Crystal Palace,873,midfield,True,24,24,7,0,0,1.33,2,0,4,0,1,0,0,3,4,1875,938,15000000.0
1754,202886,2017,21,Premier League,Crystal Palace,873,midfield,True,24,24,7,0,0,1.33,2,0,4,0,1,0,0,3,4,1875,938,15000000.0
1755,241481,2017,20,Premier League,Crystal Palace,873,midfield,False,29,12,7,0,0,1.08,0,0,0,0,0,0,0,8,0,434,0,5000000.0
1758,74300,2018,27,Premier League,Crystal Palace,873,midfield,False,38,38,13,0,0,1.29,12,0,2,10,10,0,0,0,0,3420,285,20000000.0
1760,241481,2018,21,Premier League,Crystal Palace,873,midfield,False,17,0,13,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,5000000.0
1761,41416,2019,31,Premier League,Crystal Palace,873,midfield,False,37,37,10,0,0,1.16,0,0,4,0,6,0,0,0,15,3104,0,4800000.0
1762,66934,2019,29,Premier League,Crystal Palace,873,midfield,False,38,35,10,0,0,1.2,1,0,1,0,4,0,0,6,15,2535,2535,8000000.0
1764,157506,2019,26,Premier League,Crystal Palace,873,midfield,False,19,17,10,0,0,1.24,3,0,2,0,2,0,0,6,6,1035,345,9500000.0
1766,263856,2019,25,Premier League,Crystal Palace,873,midfield,False,11,1,10,0,0,0.0,0,0,0,0,0,0,0,1,0,5,0,4000000.0
1771,241481,2020,23,Premier League,Crystal Palace,873,midfield,False,36,33,8,0,0,1.0,2,0,0,0,4,0,0,14,9,1815,908,8000000.0
1772,479999,2020,22,Premier League,Crystal Palace,873,midfield,False,36,34,8,0,0,1.24,4,0,6,0,3,0,0,5,10,2563,641,20000000.0
1773,41416,2021,33,Premier League,Crystal Palace,873,midfield,False,22,21,13,0,0,1.43,0,0,4,0,3,0,0,6,4,1437,0,1200000.0
1775,74300,2021,30,Premier League,Crystal Palace,873,midfield,False,29,15,13,0,0,1.33,0,1,0,0,1,0,0,6,8,776,0,4000000.0
1776,157506,2021,28,Premier League,Crystal Palace,873,midfield,False,36,32,13,0,0,1.25,4,0,2,0,1,0,0,12,7,1846,462,8000000.0
1780,488362,2021,21,Premier League,Crystal Palace,873,midfield,False,34,34,13,0,0,1.32,8,0,3,0,10,0,0,1,7,2851,356,25000000.0
1781,354361,2018,22,Premier League,Fulham FC,931,midfield,True,26,22,5,0,0,0.64,0,0,0,0,1,1,0,6,6,1518,0,25000000.0
1785,177779,2017,23,Bundesliga,SC Freiburg,60,midfield,False,33,33,10,0,0,1.09,3,0,4,1,9,0,0,2,12,2758,919,5000000.0
1790,342039,2019,19,Bundesliga,SC Freiburg,60,midfield,False,10,3,7,0,0,1.0,0,0,0,0,0,0,0,1,2,174,0,450000.0
1792,177779,2020,26,Bundesliga,SC Freiburg,60,midfield,False,18,14,6,0,0,1.29,0,0,0,0,1,0,0,9,5,480,0,5000000.0
1793,285323,2020,25,Bundesliga,SC Freiburg,60,midfield,True,30,30,6,0,0,1.23,1,1,2,0,5,0,0,2,15,2221,2221,15000000.0
1794,285323,2020,25,Bundesliga,SC Freiburg,60,midfield,True,30,30,6,0,0,1.23,1,1,2,0,5,0,0,2,15,2221,2221,15000000.0
1795,342039,2020,20,Bundesliga,SC Freiburg,60,midfield,False,20,12,6,0,0,1.25,0,0,0,0,1,0,0,8,3,494,0,2000000.0
1796,55099,2021,31,Bundesliga,SC Freiburg,60,midfield,False,31,30,10,0,0,1.7,2,0,6,0,5,0,0,0,4,2602,1301,2500000.0
1798,190284,2021,24,Bundesliga,SC Freiburg,60,midfield,True,32,31,10,0,0,1.65,1,0,2,0,2,0,0,5,16,2204,2204,8000000.0
1799,285323,2021,26,Bundesliga,SC Freiburg,60,midfield,False,1,1,10,0,0,1.0,0,0,0,0,0,0,0,1,0,20,0,14000000.0
1800,285323,2021,26,Bundesliga,SC Freiburg,60,midfield,False,1,1,10,0,0,1.0,0,0,0,0,0,0,0,1,0,20,0,14000000.0
1803,690429,2021,17,Bundesliga,SC Freiburg,60,midfield,False,4,0,10,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,500000.0
1804,50057,2018,27,Premier League,Arsenal FC,11,midfield,False,31,28,7,0,0,1.93,4,0,6,0,0,0,0,14,10,1325,331,40000000.0
1805,55735,2018,29,Premier League,Arsenal FC,11,midfield,True,28,25,7,0,0,1.88,6,0,4,0,1,0,0,6,8,1642,274,25000000.0
1807,160438,2018,25,Premier League,Arsenal FC,11,midfield,False,29,8,7,0,0,2.25,0,0,0,0,0,0,0,3,4,379,0,8000000.0
1808,165007,2018,24,Premier League,Arsenal FC,11,midfield,False,8,4,7,0,0,2.25,0,0,0,0,0,0,0,4,0,67,0,12000000.0
1809,242631,2018,22,Premier League,Arsenal FC,11,midfield,False,36,35,7,0,0,1.83,3,0,7,0,0,0,0,13,15,1968,656,25000000.0
1813,392765,2018,17,Premier League,Arsenal FC,11,midfield,False,3,0,7,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,4000000.0
