,Club Name,League name,Average age of players,Stadium name,Coach name,Coach Date,Club Values
0,Bayern Munich,Bundesliga,26.5,Allianz Arena,Julian Nagelsmann,"Jul 1, 2021",€979.70m
1,Borussia Dortmund,Bundesliga,24.6,SIGNAL IDUNA PARK,Marco Rose,"Jul 1, 2021",€547.70m
2,RB Leipzig,Bundesliga,25.6,Red Bull Arena,Jesse Marsch,"Jul 1, 2021",€487.30m
3,Bayer 04 Leverkusen,Bundesliga,24.9,BayArena,Gerardo Seoane,"Jul 1, 2021",€421.85m
4,VfL Wolfsburg,Bundesliga,24.6,Volkswagen Arena,Mark van Bommel,"Jul 1, 2021",€200.70m
5,Borussia Mönchengladbach,Bundesliga,26.0,Stadion im Borussia-Park,Adi Hütter,"Jul 1, 2021",€223.00m
6,Eintracht Frankfurt,Bundesliga,25.1,Deutsche Bank Park,Oliver Glasner,"Jul 1, 2021",€294.45m
7,TSG 1899 Hoffenheim,Bundesliga,25.9,PreZero Arena,Sebastian Hoeneß,"Aug 2, 2020",€154.65m
8,SC Freiburg,Bundesliga,26.2,Europa-Park Stadion,Christian Streich,"Jan 1, 2012",€161.90m
9,VfB Stuttgart,Bundesliga,23.6,Mercedes-Benz Arena,Pellegrino Matarazzo,"Dec 30, 2019",€115.95m
10,Hertha BSC,Bundesliga,26.1,Olympiastadion Berlin,Pál Dárdai,"Jan 25, 2021",€92.35m
11,1.FSV Mainz 05,Bundesliga,25.1,Mewa Arena,Bo Svensson,"Jan 4, 2021",€113.70m
12,1.FC Union Berlin,Bundesliga,27.6,Stadion An der Alten Försterei,Urs Fischer,"Jul 1, 2018",€126.10m
13,1.FC Köln,Bundesliga,24.7,RheinEnergieSTADION,Steffen Baumgart,"Jul 1, 2021",€101.93m
14,FC Augsburg,Bundesliga,25.3,WWK ARENA,Markus Weinzierl,"Apr 26, 2021",€117.15m
15,Arminia Bielefeld,2. Bundesliga,25.3,SchücoArena,Frank Kramer,"Mar 2, 2021",€21.45m
16,VfL Bochum,Bundesliga,28.1,Vonovia Ruhrstadion,Thomas Reis,"Sep 6, 2019",€47.75m
17,SpVgg Greuther Fürth,2. Bundesliga,24.0,Sportpark Ronhof | Thomas Sommer,Stefan Leitl,"Feb 5, 2019",€20.80m
