,Club Name,League name,Average age of players,Stadium name,Coach name,Coach Date,Club Values
0,Bayern Munich,Bundesliga,26.5,Allianz Arena,Carlo Ancelotti,"Jul 1, 2016",€979.70m
1,Borussia Dortmund,Bundesliga,24.6,SIGNAL IDUNA PARK,Thomas Tuchel,"Jul 1, 2015",€547.70m
2,Bayer 04 Leverkusen,Bundesliga,24.9,BayArena,Roger Schmidt,"Jul 1, 2014",€421.85m
3,FC Schalke 04,Bundesliga,27.3,Veltins-Arena,Markus Weinzierl,"Jul 1, 2016",€60.40m
4,VfL Wolfsburg,Bundesliga,24.6,Volkswagen Arena,Dieter Hecking,"Jan 1, 2013",€200.70m
5,RB Leipzig,Bundesliga,25.6,Red Bull Arena,Ralph Hasenhüttl,"Jul 1, 2016",€487.30m
6,Borussia Mönchengladbach,Bundesliga,26.0,Stadion im Borussia-Park,André Schubert,"Nov 13, 2015",€223.00m
7,TSG 1899 Hoffenheim,Bundesliga,25.9,PreZero Arena,Julian Nagelsmann,"Feb 11, 2016",€154.65m
8,1.FC Köln,Bundesliga,24.7,RheinEnergieSTADION,Peter Stöger,"Jul 1, 2013",€101.93m
9,1.FSV Mainz 05,Bundesliga,25.1,Mewa Arena,Martin Schmidt,"Feb 17, 2015",€113.70m
10,Hertha BSC,Bundesliga,26.1,Olympiastadion Berlin,Pál Dárdai,"Feb 5, 2015",€92.35m
11,SV Werder Bremen,Bundesliga,25.3,Wohninvest-Weserstadion,Viktor Skrypnyk,"Oct 26, 2014",€80.55m
12,SC Freiburg,Bundesliga,26.2,Europa-Park Stadion,Christian Streich,"Jan 1, 2012",€161.90m
13,Hamburger SV,2. Bundesliga,23.6,Volksparkstadion,Bruno Labbadia,"Apr 15, 2015",€37.65m
14,Eintracht Frankfurt,Bundesliga,25.1,Deutsche Bank Park,Niko Kovac,"Mar 8, 2016",€294.45m
15,FC Augsburg,Bundesliga,25.3,WWK ARENA,Dirk Schuster,"Jul 1, 2016",€117.15m
16,FC Ingolstadt 04,3. Liga,24.3,Audi Sportpark,Markus Kauczinski,"Jul 1, 2016",€7.35m
17,SV Darmstadt 98,2. Bundesliga,25.6,Merck-Stadion am Böllenfalltor,Norbert Meier,"Jul 1, 2016",€25.68m
