,Club Name,League name,Average age of players,Stadium name,Coach name,Coach Date,Club Values
0,Bayern Munich,Bundesliga,26.5,Allianz Arena,Niko Kovac,"Jul 1, 2018",€979.70m
1,Borussia Dortmund,Bundesliga,24.6,SIGNAL IDUNA PARK,Lucien Favre,"Jul 1, 2018",€547.70m
2,RB Leipzig,Bundesliga,25.6,Red Bull Arena,Ralf Rangnick,"Jul 9, 2018",€487.30m
3,Bayer 04 Leverkusen,Bundesliga,24.9,BayArena,Heiko Herrlich,"Jul 1, 2017",€421.85m
4,TSG 1899 Hoffenheim,Bundesliga,25.9,PreZero Arena,Julian Nagelsmann,"Feb 11, 2016",€154.65m
5,Eintracht Frankfurt,Bundesliga,25.1,Deutsche Bank Park,Adi Hütter,"Jul 1, 2018",€294.45m
6,Borussia Mönchengladbach,Bundesliga,26.0,Stadion im Borussia-Park,Dieter Hecking,"Dec 21, 2016",€223.00m
7,VfL Wolfsburg,Bundesliga,24.6,Volkswagen Arena,Bruno Labbadia,"Feb 20, 2018",€200.70m
8,FC Schalke 04,Bundesliga,27.3,Veltins-Arena,Domenico Tedesco,"Jul 1, 2017",€60.40m
9,Hertha BSC,Bundesliga,26.1,Olympiastadion Berlin,Pál Dárdai,"Feb 5, 2015",€92.35m
10,SV Werder Bremen,Bundesliga,25.3,Wohninvest-Weserstadion,Florian Kohfeldt,"Nov 10, 2017",€80.55m
11,1.FSV Mainz 05,Bundesliga,25.1,Mewa Arena,Sandro Schwarz,"Jul 1, 2017",€113.70m
12,VfB Stuttgart,Bundesliga,23.6,Mercedes-Benz Arena,Tayfun Korkut,"Jan 30, 2018",€115.95m
13,FC Augsburg,Bundesliga,25.3,WWK ARENA,Manuel Baum,"Dec 28, 2016",€117.15m
14,SC Freiburg,Bundesliga,26.2,Europa-Park Stadion,Christian Streich,"Jan 1, 2012",€161.90m
15,Fortuna Düsseldorf,2. Bundesliga,25.9,MERKUR SPIEL-ARENA,Friedhelm Funkel,"Mar 14, 2016",€27.75m
16,Hannover 96,2. Bundesliga,25.0,Heinz-von-Heiden-Arena,André Breitenreiter,"Mar 20, 2017",€23.53m
17,1.FC Nuremberg,2. Bundesliga,25.2,Max-Morlock-Stadion,Michael Köllner,"Jul 1, 2017",€25.75m
