player_id,MV,Transfer_Fee,left,joined,Date,season,Loan_Fee
33873,1200000.0,free transfer,989,29,2021-07-20,2021,-
33873,2000000.0,-,5,989,2020-08-31,2019,0
33873,5000000.0,-,989,5,2020-01-13,2019,125000.0
33873,5000000.0,-,10625,989,2019-12-31,2019,0
33873,7000000.0,loan transfer,989,10625,2019-09-02,2019,0
33873,8000000.0,11500000.0,631,989,2017-07-01,2017,-
33873,12000000.0,11000000.0,512,631,2015-07-13,2015,-
33873,1500000.0,3750000.0,1020,512,2010-02-01,2009,-
33873,400000.0,-,677,1020,2009-11-22,2009,0
33873,400000.0,loan transfer,1020,677,2009-10-14,2009,0
33873,200000.0,-,972,1020,2008-11-06,2008,0
33873,200000.0,loan transfer,1020,972,2008-08-07,2008,0
33873,200000.0,-,972,1020,2008-04-07,2007,0
33873,200000.0,loan transfer,1020,972,2008-03-27,2007,0
33873,100000.0,-,989,1020,2007-10-11,2007,0
33873,100000.0,loan transfer,1020,989,2007-08-10,2007,0
33873,100000.0,-,2436,1020,2006-12-31,2006,0
33873,100000.0,loan transfer,1020,2436,2006-11-22,2006,0
33873,100000.0,-,2180,1020,2005-12-31,2005,0
33873,-,loan transfer,1020,2180,2005-08-15,2005,0
16810,-,-,2655,123,2017-07-01,2017,-
16810,250000.0,-,515,2655,2017-02-27,2016,-
16810,250000.0,-,631,515,2016-07-01,2016,-
16810,150000.0,-,515,631,2015-10-08,2015,-
16810,150000.0,-,32013,515,2015-08-31,2015,-
16810,150000.0,free transfer,839,32013,2015-08-23,2015,-
16810,700000.0,free transfer,45930,839,2015-02-09,2014,-
16810,700000.0,-,515,45930,2014-10-22,2014,-
16810,700000.0,-,5,515,2014-07-01,2014,-
16810,3500000.0,3500000.0,252,5,2011-07-01,2011,-
16810,3500000.0,-,5,252,2011-06-30,2010,0
16810,9000000.0,loan transfer,252,5,2010-07-01,2010,0
16810,10000000.0,5000000.0,458,252,2009-08-01,2009,-
16810,12000000.0,6000000.0,1210,458,2008-07-01,2008,-
16810,-,-,130,1210,2004-06-30,2003,0
16810,-,loan transfer,1210,130,2004-01-01,2003,0
16810,-,-,1005,1210,2003-12-01,2003,0
16810,3500000.0,loan transfer,1210,1005,2003-07-11,2003,0
16810,-,2800000.0,12,1210,2001-07-01,2001,-
27511,400000.0,-,515,123,2022-11-16,2022,-
27511,400000.0,-,989,515,2022-07-01,2022,-
27511,1500000.0,free transfer,873,989,2021-08-20,2021,-
27511,8000000.0,free transfer,631,873,2019-08-05,2019,-
27511,13000000.0,8400000.0,355,631,2012-01-16,2011,-
27511,2000000.0,6000000.0,405,355,2008-01-30,2007,-
27511,2000000.0,-,350,405,2007-12-31,2007,0
27511,2000000.0,loan transfer,405,350,2007-09-19,2007,0
27511,50000.0,-,1132,405,2005-05-09,2004,0
27511,-,loan transfer,405,1132,2004-11-09,2004,0
136610,1000000.0,-,10484,2832,2023-06-30,2022,0
136610,1100000.0,loan transfer,2832,10484,2023-02-18,2022,0
136610,2500000.0,free transfer,855,2832,2019-07-22,2019,-
136610,5500000.0,-,515,855,2019-01-01,2018,-
136610,5500000.0,-,289,515,2018-09-21,2018,-
136610,5500000.0,-,2969,289,2018-06-30,2017,0
136610,5000000.0,loan transfer,289,2969,2017-08-31,2017,0
136610,4500000.0,9500000.0,631,289,2016-08-05,2016,-
136610,3500000.0,-,86,631,2016-06-30,2015,0
136610,5000000.0,-,631,86,2016-01-21,2015,400000.0
136610,6500000.0,3500000.0,995,631,2015-09-01,2015,-
136610,-,500000.0,9817,995,2010-01-04,2009,-
157490,1700000.0,-,515,358,2023-01-31,2022,-
157490,2000000.0,-,931,515,2022-07-01,2022,-
157490,3000000.0,5900000.0,631,931,2020-01-01,2019,-
157490,3000000.0,-,1035,631,2019-06-30,2018,0
157490,3000000.0,loan transfer,631,1035,2018-08-31,2018,0
157490,3000000.0,-,3008,631,2018-06-30,2017,0
157490,3000000.0,loan transfer,631,3008,2017-07-27,2017,0
157490,3000000.0,-,24,631,2017-06-30,2016,0
157490,4000000.0,loan transfer,631,24,2016-08-14,2016,0
157490,3000000.0,-,1032,631,2016-04-28,2015,0
157490,750000.0,loan transfer,631,1032,2015-09-02,2015,0
157490,750000.0,5400000.0,1032,631,2015-09-01,2015,-
157490,75000.0,-,370,1032,2014-01-07,2013,0
157490,-,loan transfer,1032,370,2013-07-26,2013,0
157490,-,-,3371,1032,2013-06-30,2012,0
157490,-,loan transfer,1032,3371,2013-01-30,2012,0
157490,-,-,3717,1032,2013-01-29,2012,0
157490,-,loan transfer,1032,3717,2012-11-22,2012,0
157490,-,-,3054,1032,2012-11-18,2012,0
157490,-,loan transfer,1032,3054,2012-07-24,2012,0
157490,50000.0,-,2804,1032,2012-05-06,2011,0
157490,50000.0,loan transfer,1032,2804,2011-11-03,2011,0
157490,-,-,6066,1032,2011-06-30,2010,0
157490,-,loan transfer,1032,6066,2011-02-02,2010,0
157490,-,-,20786,1032,2011-01-07,2010,0
157490,-,loan transfer,1032,20786,2010-11-07,2010,0
157490,-,-,20953,1032,2010-06-30,2009,0
157490,-,loan transfer,1032,20953,2010-01-05,2009,0
157490,-,-,2794,1032,2009-12-05,2009,0
157490,-,loan transfer,1032,2794,2009-08-05,2009,0
245893,2000000.0,free transfer,631,51772,2022-08-04,2022,-
245893,2000000.0,-,1108,631,2022-06-30,2021,0
245893,3000000.0,loan transfer,631,1108,2021-08-20,2021,0
245893,3000000.0,-,58,631,2021-06-30,2020,0
245893,2000000.0,loan transfer,631,58,2020-10-03,2020,0
