Coach name,Appointed Date,id
Markus Weinzierl,2012-07-01,167.0
Michael Frontzeck,2015-04-20,42.0
Ralph Hasenhüttl,2013-10-07,4795.0
Dirk Schuster,2012-12-28,105.0
Thomas Tuchel,2015-07-01,16.0
Roger Schmidt,2014-07-01,15.0
Markus Weinzierl,2016-07-01,33.0
Dieter Hecking,2013-01-01,82.0
André Schubert,2015-11-13,18.0
Martin Schmidt,2015-02-17,39.0
Viktor Skrypnyk,2014-10-26,86.0
Bruno Labbadia,2015-04-15,41.0
Dirk Schuster,2016-07-01,167.0
Markus Kauczinski,2016-07-01,4795.0
Norbert Meier,2016-07-01,105.0
Carlo Ancelotti,2016-07-01,27.0
Peter Bosz,2017-07-01,16.0
Ralph Hasenhüttl,2016-07-01,23826.0
Andries Jonker,2017-02-27,82.0
Hannes Wolf,2016-09-21,79.0
Niko Kovac,2016-03-08,24.0
Alexander Nouri,2016-10-02,86.0
Peter Stöger,2013-07-01,3.0
Markus Gisdol,2016-09-25,41.0
Ralf Rangnick,2018-07-09,23826.0
Heiko Herrlich,2017-07-01,15.0
Julian Nagelsmann,2016-02-11,533.0
Dieter Hecking,2016-12-21,18.0
Bruno Labbadia,2018-02-20,82.0
Domenico Tedesco,2017-07-01,33.0
Pál Dárdai,2015-02-05,44.0
Tayfun Korkut,2018-01-30,79.0
Manuel Baum,2016-12-28,167.0
André Breitenreiter,2017-03-20,42.0
Michael Köllner,2017-07-01,4.0
Niko Kovac,2018-07-01,27.0
Alfred Schreuder,2019-07-01,533.0
Ante Covic,2019-07-01,44.0
Sandro Schwarz,2017-07-01,39.0
Martin Schmidt,2019-04-09,167.0
Achim Beierlorzer,2019-07-01,3.0
Friedhelm Funkel,2016-03-14,38.0
Steffen Baumgart,2017-04-16,127.0
Hansi Flick,2019-11-03,27.0
Lucien Favre,2018-07-01,16.0
Julian Nagelsmann,2019-07-01,23826.0
Peter Bosz,2018-12-23,15.0
Marco Rose,2019-07-01,18.0
Adi Hütter,2018-07-01,24.0
Oliver Glasner,2019-07-01,82.0
Bruno Labbadia,2020-04-09,44.0
Achim Beierlorzer,2019-11-18,39.0
David Wagner,2019-07-01,33.0
Markus Gisdol,2019-11-18,3.0
Florian Kohfeldt,2017-11-10,86.0
Heiko Herrlich,2020-03-10,167.0
Uwe Neuhaus,2018-12-10,10.0
Julian Nagelsmann,2021-07-01,27.0
Marco Rose,2021-07-01,16.0
Jesse Marsch,2021-07-01,23826.0
Gerardo Seoane,2021-07-01,15.0
Mark van Bommel,2021-07-01,82.0
Adi Hütter,2021-07-01,18.0
Oliver Glasner,2021-07-01,24.0
Sebastian Hoeneß,2020-08-02,533.0
Christian Streich,2012-01-01,60.0
Pellegrino Matarazzo,2019-12-30,79.0
Pál Dárdai,2021-01-25,44.0
Bo Svensson,2021-01-04,39.0
Urs Fischer,2018-07-01,89.0
Steffen Baumgart,2021-07-01,3.0
Markus Weinzierl,2021-04-26,167.0
Frank Kramer,2021-03-02,10.0
Thomas Reis,2019-09-06,80.0
Stefan Leitl,2019-02-05,65.0
Laurent Blanc,2013-06-25,583.0
Hubert Fournier,2014-07-01,1041.0
Marcelo Bielsa,2014-07-01,244.0
Philippe Montanier,2013-07-01,273.0
Willy Sagnol,2014-07-01,40.0
Claude Puel,2012-05-23,417.0
Hervé Renard,2015-05-26,1082.0
Rolland Courbis,2013-12-09,969.0
Olivier Guégan,2015-04-07,1421.0
Dominique Arribagé,2015-03-20,415.0
Michel Der Zakarian,2012-05-31,995.0
Jocelyn Gourvennec,2010-07-01,855.0
Jean-Marc Furlan,2010-06-23,1095.0
Ghislain Printant,2014-11-04,595.0
Thierry Laurey,2013-02-19,3558.0
Franck Passi,2016-04-19,244.0
Christophe Galtier,2009-12-16,618.0
Frédéric Antonetti,2015-11-22,1082.0
Rolland Courbis,2016-01-20,273.0
Sylvain Ripoll,2014-07-01,1158.0
Frédéric Hantz,2016-01-26,969.0
René Girard,2016-07-01,995.0
François Ciccolini,2016-01-28,595.0
Pablo Correa,2013-10-12,1159.0
Unai Emery,2016-07-01,583.0
Lucien Favre,2016-07-01,417.0
Jocelyn Gourvennec,2016-07-01,40.0
Christian Gourcuff,2016-07-01,273.0
Pascal Dupraz,2016-03-01,415.0
Óscar García,2017-06-15,618.0
Claudio Ranieri,2017-07-01,995.0
Marcelo Bielsa,2017-07-01,1082.0
Patrice Garande,2012-07-01,1162.0
Philippe Hinschberger,2015-12-23,347.0
Jean-Louis Garcia,2016-07-01,1095.0
Bruno Génésio,2015-12-24,1041.0
Leonardo Jardim,2014-07-01,162.0
Rudi Garcia,2016-10-20,244.0
Gustavo Poyet,2018-01-20,40.0
Sabri Lamouchi,2017-11-08,273.0
Jean-Louis Gasset,2017-12-20,618.0
Miguel Cardoso,2018-06-13,995.0
Antoine Kombouaré,2016-07-01,855.0
Christophe Pélissier,2014-12-31,1416.0
Fabien Mercadal,2018-06-08,1162.0
Olivier Dall'Oglio,2012-06-01,2969.0
Sylvinho,2019-07-01,1041.0
Leonardo Jardim,2019-01-27,162.0
Vahid Halilhodzic,2018-10-02,995.0
Ghislain Printant,2019-06-06,618.0
Alain Casanova,2018-06-25,415.0
Luka Elsner,2019-07-01,1416.0
Bernard Blaquart,2015-11-23,1160.0
Thomas Tuchel,2018-07-01,583.0
Rudi Garcia,2019-10-14,1041.0
Christophe Galtier,2017-12-29,1082.0
Julien Stéphan,2018-12-03,273.0
André Villas-Boas,2019-07-01,244.0
Patrick Vieira,2018-07-01,417.0
Michel Der Zakarian,2017-05-23,969.0
Stéphane Moulin,2011-07-01,1420.0
Thierry Laurey,2016-07-01,667.0
Paulo Sousa,2019-03-08,40.0
David Guion,2017-05-22,1421.0
Vincent Hognon,2018-12-14,347.0
Olivier Dall'Oglio,2019-05-31,3911.0
Christian Gourcuff,2019-08-08,995.0
Stéphane Jobard,2019-06-20,2969.0
Jérôme Arpinon,2020-06-24,1160.0
Mauricio Pochettino,2021-01-02,583.0
Peter Bosz,2021-05-29,1041.0
Niko Kovac,2020-07-19,162.0
Jocelyn Gourvennec,2021-07-05,1082.0
Bruno Génésio,2021-03-04,273.0
Jorge Sampaoli,2021-03-08,244.0
Christophe Galtier,2021-07-01,417.0
Franck Haise,2020-02-25,826.0
Óscar García,2021-06-23,1421.0
Olivier Dall'Oglio,2021-06-01,969.0
Julien Stéphan,2021-05-28,667.0
Jean-Louis Gasset,2020-08-10,40.0
Antoine Kombouaré,2021-02-11,995.0
Claude Puel,2019-10-04,618.0
Michel Der Zakarian,2021-06-22,3911.0
Frédéric Antonetti,2020-10-13,347.0
Gérald Baticle,2021-05-27,1420.0
Laurent Batlles,2019-06-14,1095.0
Christophe Pélissier,2019-05-29,1158.0
Pascal Gastien,2017-09-01,3524.0
Rudi Garcia,2013-07-01,12.0
Siniša Mihajlović,2015-06-16,5.0
Stefano Pioli,2014-07-01,398.0
Walter Zenga,2015-06-11,1038.0
Gian Piero Gasperini,2013-09-29,252.0
Stefano Colantuono,2015-06-04,410.0
Gian Piero Ventura,2011-06-06,416.0
Edoardo Reja,2015-03-04,800.0
Delio Rossi,2015-05-04,1025.0
Marco Giampaolo,2015-06-15,749.0
Andrea Mandorlini,2010-11-09,276.0
Roberto Stellone,2012-06-14,8970.0
Luciano Spalletti,2016-01-14,12.0
Roberto Mancini,2014-11-14,46.0
Marcelo Bielsa,2016-07-06,398.0
Paulo Sousa,2015-06-21,430.0
Eusebio Di Francesco,2014-03-03,6574.0
Ivan Juric,2016-07-01,252.0
Giuseppe Iachini,2016-07-01,410.0
Giovanni Martusciello,2016-07-01,749.0
Massimo Oddo,2015-05-16,2921.0
Maurizio Sarri,2015-06-11,6195.0
Vincenzo Montella,2016-06-28,5.0
Siniša Mihajlović,2016-05-25,416.0
Ivan Juric,2017-04-10,252.0
Cristian Bucchi,2017-06-20,6574.0
Luigi Delneri,2016-10-03,410.0
Roberto Donadoni,2015-10-28,1025.0
Massimo Rastelli,2015-06-12,1390.0
Marco Baroni,2016-07-01,4171.0
Fabio Pecchia,2016-07-01,276.0
Rolando Maran,2014-10-19,862.0
Davide Nicola,2016-07-01,4083.0
Massimiliano Allegri,2014-07-16,506.0
Luciano Spalletti,2017-06-09,46.0
Gennaro Gattuso,2017-11-28,5.0
Eusebio Di Francesco,2017-06-13,12.0
Stefano Pioli,2017-07-01,430.0
Marco Giampaolo,2016-07-04,1038.0
Julio Velázquez,2018-07-01,410.0
Davide Ballardini,2017-11-06,252.0
Filippo Inzaghi,2018-07-01,1025.0
Aurelio Andreazzoli,2017-12-17,749.0
Lorenzo D'Anna,2018-04-29,862.0
Moreno Longo,2017-06-14,8970.0
Carlo Ancelotti,2018-07-01,6195.0
Marco Giampaolo,2019-06-19,5.0
Vincenzo Montella,2019-04-10,430.0
Rolando Maran,2018-07-01,1390.0
Walter Mazzarri,2018-01-04,416.0
Aurelio Andreazzoli,2019-07-01,252.0
Eusebio Di Francesco,2019-06-22,1038.0
Igor Tudor,2019-03-20,410.0
Eugenio Corini,2018-09-18,19.0
Leonardo Semplici,2014-12-08,2722.0
Fabio Liverani,2017-09-17,1005.0
Antonio Conte,2019-05-31,46.0
Maurizio Sarri,2019-07-01,506.0
Gennaro Gattuso,2019-12-11,6195.0
Paulo Fonseca,2019-07-01,12.0
Simone Inzaghi,2016-07-08,398.0
Giuseppe Iachini,2019-12-23,430.0
Roberto De Zerbi,2018-07-01,6574.0
Walter Zenga,2020-03-03,1390.0
Moreno Longo,2020-02-04,416.0
Ivan Juric,2019-07-01,276.0
Roberto D'Aversa,2016-12-03,130.0
Claudio Ranieri,2019-10-12,1038.0
