id,Season,income,expend,overall_balance,ARRIVALS,DEPARTURES,League name,Average age of players,Total market value
5358,2018,400000.0,9300000.0,-8900000.0,22,21,LaLiga2,27.5,20900000.0
131,2019,152900000.0,298500000.0,-145600000.0,22,20,LaLiga,25.5,767000000.0
418,2019,136800000.0,355500000.0,-218700000.0,19,22,LaLiga,27.4,860800000.0
13,2019,316300000.0,247350000.0,68950000.0,19,20,LaLiga,28.5,457000000.0
1049,2019,56300000.0,75000000.0,-18700000.0,19,24,LaLiga,25.0,225650000.0
681,2019,9500000.0,31750000.0,-22250000.0,14,13,LaLiga,25.4,376000000.0
368,2019,131449999.99999999,188730000.0,-57280000.0,29,30,LaLiga,28.8,209000000.0
150,2019,72000000.0,96450000.0,-24450000.0,18,21,LaLiga,29.0,252500000.0
621,2019,0.0,0.0,0.0,12,10,LaLiga,27.8,226300000.0
1050,2019,69300000.0,43800000.0,25500000.0,20,19,LaLiga,28.4,278200000.0
3709,2019,11250000.0,21500000.0,-10250000.0,19,21,LaLiga,27.8,136700000.0
940,2019,40650000.0,24600000.0,16050000.0,16,18,LaLiga,26.4,146200000.0
714,2019,60000000.0,61500000.0,-1500000.0,15,18,LaLiga,26.1,113700000.0
1244,2019,40820000.0,16450000.0,24370000.0,33,30,LaLiga2,28.6,28200000.0
1108,2019,22500000.0,11770000.0,10730000.0,26,27,LaLiga2,26.1,34300000.0
3368,2019,14900000.0,14600000.0,300000.0,20,21,LaLiga2,27.5,41600000.0
366,2019,8000000.0,1400000.0,6600000.0,22,21,LaLiga,28.0,76600000.0
237,2019,0.0,7500000.0,-7500000.0,26,31,LaLiga,27.9,93600000.0
331,2019,300000.0,14450000.0,-14150000.0,16,21,LaLiga,27.9,127700000.0
16795,2019,300000.0,11240000.0,-10940000.0,16,20,LaLiga2,28.0,47000000.0
1533,2019,27000000.0,17300000.0,9700000.0,16,18,LaLiga2,28.3,26900000.0
131,2020,149800000.0,112000000.0,37800000.0,14,18,LaLiga,25.5,767000000.0
418,2020,104200000.0,0.0,104200000.0,18,14,LaLiga,27.4,860800000.0
13,2020,83300000.0,91000000.0,-7700000.0,14,14,LaLiga,28.5,457000000.0
368,2020,19680000.0,74350000.0,-54670000.0,19,22,LaLiga,28.8,209000000.0
681,2020,28250000.0,10000000.0,18250000.0,7,11,LaLiga,25.4,376000000.0
1050,2020,26650000.0,36500000.0,-9850000.0,20,24,LaLiga,28.4,278200000.0
1049,2020,87850000.0,50000.0,87800000.0,13,14,LaLiga,25.0,225650000.0
150,2020,43700000.0,0.0,43700000.0,14,16,LaLiga,29.0,252500000.0
621,2020,0.0,12000000.0,-12000000.0,9,12,LaLiga,27.8,226300000.0
3709,2020,9750000.0,22050000.0,-12300000.0,23,21,LaLiga,27.8,136700000.0
940,2020,2500000.0,3000000.0,-500000.0,12,10,LaLiga,26.4,146200000.0
16795,2020,0.0,20500000.0,-20500000.0,13,13,LaLiga2,28.0,47000000.0
3368,2020,5000000.0,4000000.0,1000000.0,14,15,LaLiga2,27.5,41600000.0
331,2020,3450000.0,9150000.0,-5700000.0,15,15,LaLiga,27.9,127700000.0
1533,2020,150000.0,2000000.0,-1850000.0,13,13,LaLiga2,28.3,26900000.0
1108,2020,4880000.0,0.0,4880000.0,24,23,LaLiga2,26.1,34300000.0
5358,2020,0.0,4650000.0,-4650000.0,18,20,LaLiga2,27.5,20900000.0
366,2020,12100000.0,9850000.0,2250000.0,22,28,LaLiga,28.0,76600000.0
2687,2020,0.0,10100000.0,-10100000.0,29,30,LaLiga,29.0,62400000.0
1531,2020,7300000.0,6100000.0,1200000.0,19,21,LaLiga,27.7,60700000.0
418,2021,78000000.0,31000000.0,47000000.0,7,10,LaLiga,27.4,860800000.0
131,2021,70760000.0,69500000.0,1260000.0,17,19,LaLiga,25.5,767000000.0
13,2021,22750000.0,80700000.0,-57950000.0,18,18,LaLiga,28.5,457000000.0
1050,2021,10380000.0,54500000.0,-44130000.0,18,20,LaLiga,28.4,278200000.0
368,2021,28500000.0,41500000.0,-13000000.0,17,17,LaLiga,28.8,209000000.0
681,2021,0.0,2500000.0,-2500000.0,9,7,LaLiga,25.4,376000000.0
1049,2021,2700000.0,13350000.0,-10650000.0,15,15,LaLiga,25.0,225650000.0
150,2021,14000000.0,3250000.0,10750000.0,8,9,LaLiga,29.0,252500000.0
621,2021,0.0,0.0,0.0,9,6,LaLiga,27.8,226300000.0
3709,2021,21000000.0,16000000.0,5000000.0,19,22,LaLiga,27.8,136700000.0
714,2021,0.0,6000000.0,-6000000.0,8,11,LaLiga,26.1,113700000.0
940,2021,1800000.0,10020000.0,-8220000.000000001,16,13,LaLiga,26.4,146200000.0
331,2021,0.0,8700000.0,-8700000.0,15,14,LaLiga,27.9,127700000.0
16795,2021,3000000.0,17450000.0,-14450000.0,17,20,LaLiga2,28.0,47000000.0
3368,2021,0.0,875000.0,-875000.0,10,13,LaLiga2,27.5,41600000.0
237,2021,9000000.0,10000000.0,-1000000.0,22,21,LaLiga,27.9,93600000.0
